block,year,catch_area_code,observed,predicted,loo_ratio,n_donors,abs_error,pct_error
PugetSound,2024,830,32420.31595919959,30840.94295996992,3.3176573752119105,9,-1579.3729992296685,-4.871553384048701
PugetSound,2024,844,2303.07322946025,800.1882761997097,3.320283303733235,9,-1502.8849532605402,-65.25563034800928
PugetSound,2024,850,11637.468283686603,4201.151603401175,3.1165813081611087,9,-7436.316680285428,-63.89978042483393
PugetSound,2024,852,1423.8291754353274,133.1026785601855,3.327566964004637,9,-1290.726496875142,-90.65178036406719
PugetSound,2024,860,2727.6753232354604,2172.6298196051985,3.352823795687035,9,-555.0455036302619,-20.34866462669351
PugetSound,2024,872,1112.942460250824,3010.843954346475,3.4370364775644693,9,1897.901494095651,170.53006439056344
WACoast,2022,329,6376.507797692363,4781.882278647534,2.788269550231798,6,-1594.6255190448292,-25.007818850655507
WACoast,2022,358,10741.574541485992,3710.6093562942783,1.9992507307620033,6,-7030.965185191713,-65.45562904243504
WACoast,2022,398,751.8568963621216,627.3424153824244,3.0016383511120783,6,-124.51448097969717,-16.5609282274544
WACoast,2022,400,244.33943293999482,74.87787067444253,2.9951148269777015,6,-169.4615622655523,-69.35497894323461
WACoast,2022,402,117.1967343337229,36.0952706934717,3.0079392244559746,6,-81.10146364025121,-69.2011292817351
WACoast,2022,404,1525.3535438930205,822.8036724730915,2.917743519408126,6,-702.549871419929,-46.05816626792469
WACoast,2022,406,1048.9737734347027,13452.380968592299,4.819914356356969,6,12403.407195157597,1182.4325363773924
WACoast,2023,315,1846.62445144156,30964.98410796611,2.5477196073692703,9,29118.35965652455,1576.8425265783424
WACoast,2023,329,11776.442332203043,4940.769311761819,1.023145436272897,9,-6835.673020441224,-58.04531477005468
WACoast,2023,348,114.42208775342246,468.7938736107606,1.328027970568727,9,354.3717858573382,309.70575071222527
WACoast,2023,350,729.7981596096621,1838.7536728614796,1.3600249059626328,9,1108.9555132518176,151.9537283904567
WACoast,2023,358,13255.524479307154,1949.7891850013407,0.8335994805478156,9,-11305.735294305814,-85.29074282918715
WACoast,2023,398,486.93100240453714,255.42420340212257,1.3031847112353192,9,-231.50679900241457,-47.54406637885035
WACoast,2023,400,209.1833561424227,41.788905422849176,1.3059032944640367,9,-167.3944507195735,-80.0228344197723
WACoast,2023,402,154.93362854145667,170.7775196357845,1.3136732279675731,9,15.84389109432783,10.22624413013626
WACoast,2023,404,1541.8729079723328,1839.992018170604,1.3256426643880432,9,298.1191101982713,19.334869213722556
WACoast,2023,406,848.7794386893588,1071.16950987372,1.3224314936712593,9,222.3900711843612,26.201161461658923
WACoast,2024,315,1507.8234947045628,61296.36308433597,4.242843710412956,6,59788.53958963141,3965.221380327818
WACoast,2024,329,9492.327374905171,3995.0646068474434,1.1865353747690655,6,-5497.262768057728,-57.91269675960418
WACoast,2024,358,13706.481434719859,1707.9021716982156,0.8821808738110618,6,-11998.579263021644,-87.53945584187687
WACoast,2024,398,888.4042778691356,189.093844844043,1.4111480958510672,6,-699.3104330250926,-78.71533832574622
WACoast,2024,402,369.41150108602915,57.170739472658326,1.4292684868164582,6,-312.2407616133708,-84.523833366156
WACoast,2024,404,2137.9769928415058,1027.2119731249466,1.3918861424457272,6,-1110.7650197165592,-51.95402118150405
WACoast,2024,406,2740.4198323734713,950.7112151878936,1.3601018815277448,6,-1789.7086171855776,-65.30782605070827
