fishery_name,crc_area,angler_final,n_months,mean_of_months,sd_of_months,min_month,max_month,cv_across_months,pe_period
Cascade fall salmon 2024,826,bank,3,5.053611984126984,0.2369026066559458,4.8275,5.300001666666667,0.0468778781196576,month
Chehalis salmon 2022,317,bank,4,2.801277032142857,0.5013521228234838,2.2159992,3.4379175,0.17897270318886344,month
Chehalis salmon 2022,317,boat,4,4.733178949986444,0.5574733815984321,3.984998,5.32994796875,0.11777990806792309,month
Chehalis salmon 2024,315,bank,2,2.634551346153846,0.9835129182033426,1.9391026923076924,3.33,0.3733132472969877,month
Chehalis salmon 2024,315,boat,2,4.04826375,0.7419724487999031,3.52361,4.5729175,0.18328164729877175,month
Chehalis salmon 2024,317,bank,4,2.5654275674127582,1.2910034231946985,0.7000000000000001,3.4719389795918367,0.5032312896273581,month
Chehalis salmon 2024,317,boat,4,5.159354428413372,0.3867436920939149,4.650280336134454,5.5575754545454545,0.07495970619193303,month
Chehalis salmon 2024,NA,boat,3,4.332858009615384,0.6339410853963443,3.859616153846154,5.0531243749999994,0.14631014540276097,month
Chehalis salmon 2025,315,bank,3,2.4690388666666667,0.705196843981773,2.0616666,3.28333,0.2856159348086027,month
Chehalis salmon 2025,315,boat,3,4.0770163461538464,0.18085183436431151,3.9015625,4.262821538461538,0.04435886908692984,month
Chehalis salmon 2025,317,bank,4,4.060836543822348,2.3432653180693697,2.732963333333333,7.56667,0.5770400489608778,month
Chehalis salmon 2025,317,boat,4,5.007342897275933,0.31632000438432645,4.786781724137931,5.476923076923077,0.06317122890793221,month
Chehalis salmon 2025,NA,bank,2,4.6527775,0.16106124708476544,4.53889,4.766665,0.03461615069380933,month
Chehalis salmon 2025,NA,boat,3,4.415129397306397,0.17782400043849028,4.250758636363637,4.603889,0.04027605635906798,month
Drano Lake salmon and steelhead 2022,618,bank,4,3.5151481875,0.4999400474401645,2.86667,4.006666,0.14222445847886875,month
Drano Lake salmon and steelhead 2022,618,boat,4,5.060974040608466,1.1742111563313002,3.7292218,6.197530648148148,0.23201287872840548,month
Drano Lake salmon and steelhead 2023,618,bank,3,3.4660491111111114,0.5150031815911791,3.133334,4.05926,0.14858507917277736,month
Drano Lake salmon and steelhead 2023,618,boat,4,5.317291820106272,0.6269059211627874,4.3972914375,5.803472083333333,0.11789947634475666,month
Drano Lake salmon and steelhead 2024,618,bank,4,4.4149876751207735,0.7786748217377447,3.720833333333333,5.520368888888889,0.17637078040460075,month
Drano Lake salmon and steelhead 2024,618,boat,4,5.24132935254244,0.23696629217793289,4.948197837837838,5.5225293969849245,0.04521110509168563,month
Drano Lake salmon and steelhead 2025,618,bank,4,3.471416259018759,2.207055119258425,1.05,6.147618571428572,0.6357794498209436,month
Drano Lake salmon and steelhead 2025,618,boat,4,5.047804508160196,0.6036581853163117,4.332876849315069,5.804283177570094,0.11958826542122382,month
Hoh fall salmon 2023,348,boat,1,7.71667,NA,7.71667,7.71667,NA,month
Hoh fall salmon 2023,350,bank,1,4.304166666666666,NA,4.304166666666666,4.304166666666666,NA,month
Hoh fall salmon 2023,350,boat,1,7.6199995000000005,NA,7.6199995000000005,7.6199995000000005,NA,month
Hoh fall salmon 2025,348,bank,2,4.2816675,0.3511951894780167,4.033335,4.53,0.08202299442402211,month
Hoh fall salmon 2025,348,boat,3,6.370673474747475,1.4111189667354287,5.540909090909091,8,0.22150232190190278,month
Hoh fall salmon 2025,350,bank,3,3.3667345163170164,0.4915405931764054,2.8208325,3.7742418181818183,0.14599921401409402,month
Hoh fall salmon 2025,350,boat,3,6.1385176,2.009967737480699,3.82222,7.4233328,0.32743536281148705,month
Humptulips salmon 2022,358,bank,4,3.931238098112713,0.21908180717317924,3.720339406779661,4.182905897435897,0.055728450352156185,month
Humptulips salmon 2022,358,boat,4,7.603638328174384,0.5774495833741023,6.801622477876106,8.16761942857143,0.07594385193656977,month
Humptulips salmon 2023,358,bank,3,3.434293022965039,0.428146510863656,2.980757363636364,3.831467686567164,0.12466801988084594,month
Humptulips salmon 2023,358,boat,3,7.1301075574489055,0.4579216431606918,6.744642678571428,7.636296296296297,0.06422366555779313,month
Humptulips salmon 2024,358,bank,4,3.406032015730866,0.19989829435054904,3.233333488372093,3.6926618656716417,0.058689493647538386,month
Humptulips salmon 2024,358,boat,4,6.645350228009259,0.11311654381040274,6.533950833333333,6.7817710416666666,0.017021908541950386,month
Humptulips salmon 2025,358,bank,4,3.4748318009611974,0.20858422820840625,3.2760710714285715,3.768764195804196,0.06002714380325065,month
Humptulips salmon 2025,358,boat,4,6.293475355804902,0.6650406206877008,5.435238285714286,7.017283827160494,0.10567144273859568,month
Lower Chehalis salmon 2023,317,bank,3,2.77652532325275,0.39444448996850245,2.323105909090909,3.0405791304347827,0.14206407075243369,month
Lower Chehalis salmon 2023,317,boat,3,4.8319822847796505,0.11549125823034627,4.699999583333334,4.9145161751152076,0.023901424182397005,month
Lower Chehalis salmon 2023,NA,boat,3,4.175833444444445,0.7011665427671298,3.6166675,4.962500833333333,0.1679105625488886,month
Nisqually salmon 2022,786,bank,5,3.034175919653689,0.6499653833538847,2.233334,3.9417674204171242,0.2142147985368197,month
