fishery_name,year,location,mode,n_interviews,n_location,prop,prop_hrs,prop_delta
Skagit summer gamefish 2022,2022,bank,guided,0,60,0,NA,NA
Skagit summer gamefish 2022,2022,bank,unguided,60,60,1,1,0
Skagit summer gamefish 2022,2022,boat,guided,2,17,0.11764705882352941,0.19073400195260493,-0.07308694312907552
Skagit summer gamefish 2022,2022,boat,unguided,15,17,0.8823529411764706,0.8092659980473951,0.07308694312907549
Skagit summer gamefish 2024,2024,bank,guided,0,29,0,NA,NA
Skagit summer gamefish 2024,2024,bank,unguided,29,29,1,1,0
Skagit summer gamefish 2024,2024,boat,guided,0,12,0,NA,NA
Skagit summer gamefish 2024,2024,boat,unguided,12,12,1,1,0
Skagit summer sockeye 2022,2022,bank,guided,0,443,0,NA,NA
Skagit summer sockeye 2022,2022,bank,unguided,443,443,1,1,0
Skagit summer sockeye 2022,2022,boat,guided,0,78,0,NA,NA
Skagit summer sockeye 2022,2022,boat,unguided,78,78,1,1,0
Skagit summer sockeye 2023,2023,bank,guided,0,176,0,NA,NA
Skagit summer sockeye 2023,2023,bank,unguided,176,176,1,1,0
Skagit summer sockeye 2023,2023,boat,guided,5,40,0.125,0.29757390795030675,-0.17257390795030675
Skagit summer sockeye 2023,2023,boat,unguided,35,40,0.875,0.7024260920496933,0.1725739079503067
Skagit summer sockeye 2024,2024,bank,guided,0,550,0,NA,NA
Skagit summer sockeye 2024,2024,bank,unguided,550,550,1,1,0
Skagit summer sockeye 2024,2024,boat,guided,5,159,0.031446540880503145,0.0790995356739485,-0.04765299479344536
Skagit summer sockeye 2024,2024,boat,unguided,154,159,0.9685534591194969,0.9209004643260515,0.047652994793445314
Skagit summer sockeye 2025,2025,bank,guided,0,394,0,NA,NA
Skagit summer sockeye 2025,2025,bank,unguided,394,394,1,1,0
Skagit summer sockeye 2025,2025,boat,guided,2,213,0.009389671361502348,0.022931661294358342,-0.013541989932855995
Skagit summer sockeye 2025,2025,boat,unguided,211,213,0.9906103286384976,0.9770683387056416,0.013541989932856047
Skagit summer sockeye 2026,2026,bank,guided,0,289,0,NA,NA
Skagit summer sockeye 2026,2026,bank,unguided,289,289,1,1,0
Skagit summer sockeye 2026,2026,boat,guided,8,194,0.041237113402061855,0.1295546867259605,-0.08831757332389864
Skagit summer sockeye 2026,2026,boat,unguided,186,194,0.9587628865979382,0.8704453132740395,0.08831757332389867
Skagit winter gamefish 2021-22,2022,bank,guided,3,104,0.028846153846153848,0.0992408627017244,-0.07039470885557056
Skagit winter gamefish 2021-22,2022,bank,unguided,101,104,0.9711538461538461,0.9007591372982756,0.07039470885557053
Skagit winter gamefish 2021-22,2022,boat,guided,2,37,0.05405405405405406,0.06072494383529491,-0.006670889781240856
Skagit winter gamefish 2021-22,2022,boat,unguided,35,37,0.9459459459459459,0.9392750561647051,0.006670889781240863
Skagit winter gamefish 2022-23,2022,bank,guided,0,17,0,NA,NA
Skagit winter gamefish 2022-23,2022,bank,unguided,17,17,1,1,0
Skagit winter gamefish 2022-23,2022,boat,guided,0,5,0,NA,NA
Skagit winter gamefish 2022-23,2022,boat,unguided,5,5,1,1,0
Skagit winter gamefish 2022-23,2023,bank,guided,2,170,0.011764705882352941,0.01701560886547642,-0.00525090298312348
Skagit winter gamefish 2022-23,2023,bank,unguided,168,170,0.9882352941176471,0.9829843911345235,0.005250902983123584
Skagit winter gamefish 2022-23,2023,boat,guided,2,56,0.03571428571428571,0.042414209655048996,-0.006699923940763283
Skagit winter gamefish 2022-23,2023,boat,unguided,54,56,0.9642857142857143,0.957585790344951,0.006699923940763353
Skagit winter gamefish 2024,2024,bank,guided,0,58,0,NA,NA
Skagit winter gamefish 2024,2024,bank,unguided,58,58,1,1,0
Skagit winter gamefish 2024,2024,boat,guided,1,12,0.08333333333333333,0.09583736689254599,-0.01250403355921266
Skagit winter gamefish 2024,2024,boat,unguided,11,12,0.9166666666666666,0.904162633107454,0.01250403355921259
Skagit winter gamefish 2025,2025,bank,guided,1,72,0.013888888888888888,0.03886244739015852,-0.02497355850126963
Skagit winter gamefish 2025,2025,bank,unguided,71,72,0.9861111111111112,0.9611375526098416,0.024973558501269588
Skagit winter gamefish 2025,2025,boat,guided,0,22,0,NA,NA
Skagit winter gamefish 2025,2025,boat,unguided,22,22,1,1,0
Skagit winter steelhead 2021,2021,bank,guided,5,909,0.005500550055005501,0.010153194133533024,-0.004652644078527523
Skagit winter steelhead 2021,2021,bank,unguided,904,909,0.9944994499449945,0.9898468058664669,0.004652644078527612
Skagit winter steelhead 2021,2021,boat,guided,128,951,0.13459516298633017,0.12292225218292788,0.011672910803402298
Skagit winter steelhead 2021,2021,boat,unguided,823,951,0.8654048370136698,0.8770777478170722,-0.011672910803402381
Skagit winter steelhead 2023,2023,bank,guided,10,486,0.0205761316872428,0.036688061498991786,-0.016111929811748988
Skagit winter steelhead 2023,2023,bank,unguided,476,486,0.9794238683127572,0.9633119385010082,0.016111929811749026
Skagit winter steelhead 2023,2023,boat,guided,22,239,0.09205020920502092,0.1037123781304893,-0.01166216892546837
Skagit winter steelhead 2023,2023,boat,unguided,217,239,0.9079497907949791,0.8962876218695108,0.01166216892546823
Skagit winter steelhead 2024,2024,bank,guided,21,772,0.027202072538860103,0.08401029434847376,-0.05680822180961366
Skagit winter steelhead 2024,2024,bank,unguided,751,772,0.9727979274611399,0.9159897056515262,0.05680822180961376
Skagit winter steelhead 2024,2024,boat,guided,74,451,0.164079822616408,0.19564357151609257,-0.03156374889968458
Skagit winter steelhead 2024,2024,boat,unguided,377,451,0.835920177383592,0.8043564284839075,0.031563748899684496
Skagit winter steelhead 2025,2025,bank,guided,24,740,0.032432432432432434,0.07119287273742311,-0.03876044030499068
Skagit winter steelhead 2025,2025,bank,unguided,716,740,0.9675675675675676,0.9288071272625769,0.038760440304990706
Skagit winter steelhead 2025,2025,boat,guided,82,425,0.19294117647058823,0.17722432098831398,0.01571685548227425
