fishery_name,month,angler_final,n,total,prop
Humptulips salmon 2022,2022-10-01,Boat,34,97,0.35051546391752575
Humptulips salmon 2022,2022-11-01,Bank,148,214,0.6915887850467289
Humptulips salmon 2022,2022-11-01,Boat,66,214,0.308411214953271
Humptulips salmon 2022,2022-12-01,Bank,96,96,1
Humptulips salmon 2023,2023-09-01,Bank,197,313,0.6293929712460063
Humptulips salmon 2023,2023-09-01,Boat,116,313,0.3706070287539936
Humptulips salmon 2023,2023-10-01,Bank,217,346,0.6271676300578035
Humptulips salmon 2023,2023-10-01,Boat,129,346,0.37283236994219654
Humptulips salmon 2023,2023-11-01,Bank,155,212,0.7311320754716981
Humptulips salmon 2023,2023-11-01,Boat,57,212,0.2688679245283019
Humptulips salmon 2024,2024-09-01,Bank,203,322,0.6304347826086957
Humptulips salmon 2024,2024-09-01,Boat,119,322,0.3695652173913043
Humptulips salmon 2024,2024-10-01,Bank,223,318,0.7012578616352201
Humptulips salmon 2024,2024-10-01,Boat,95,318,0.29874213836477986
Humptulips salmon 2024,2024-11-01,Bank,130,156,0.8333333333333334
Humptulips salmon 2024,2024-11-01,Boat,26,156,0.16666666666666666
Humptulips salmon 2024,2024-12-01,Bank,93,107,0.8691588785046729
Humptulips salmon 2024,2024-12-01,Boat,14,107,0.1308411214953271
Humptulips salmon 2025,2025-09-01,Bank,110,183,0.6010928961748634
Humptulips salmon 2025,2025-09-01,Boat,73,183,0.3989071038251366
Humptulips salmon 2025,2025-10-01,Bank,248,327,0.7584097859327217
Humptulips salmon 2025,2025-10-01,Boat,79,327,0.2415902140672783
Humptulips salmon 2025,2025-11-01,Bank,193,253,0.7628458498023716
Humptulips salmon 2025,2025-11-01,Boat,60,253,0.23715415019762845
Humptulips salmon 2025,2025-12-01,Bank,142,147,0.9659863945578231
Humptulips salmon 2025,2025-12-01,Boat,5,147,0.034013605442176874
Humptulips winter steelhead 2024-25,2024-11-01,Bank,127,153,0.8300653594771242
Humptulips winter steelhead 2024-25,2024-11-01,Boat,26,153,0.16993464052287582
Humptulips winter steelhead 2024-25,2024-12-01,Bank,93,107,0.8691588785046729
Humptulips winter steelhead 2024-25,2024-12-01,Boat,14,107,0.1308411214953271
Humptulips winter steelhead 2024-25,2025-01-01,Bank,85,102,0.8333333333333334
Humptulips winter steelhead 2024-25,2025-01-01,Boat,17,102,0.16666666666666666
Humptulips winter steelhead 2024-25,2025-02-01,Bank,3,3,1
Humptulips winter steelhead 2025-26,2025-11-01,Bank,193,253,0.7628458498023716
Humptulips winter steelhead 2025-26,2025-11-01,Boat,60,253,0.23715415019762845
Humptulips winter steelhead 2025-26,2025-12-01,Bank,142,147,0.9659863945578231
Humptulips winter steelhead 2025-26,2025-12-01,Boat,5,147,0.034013605442176874
Humptulips winter steelhead 2025-26,2026-01-01,Bank,117,132,0.8863636363636364
Humptulips winter steelhead 2025-26,2026-01-01,Boat,15,132,0.11363636363636363
Humptulips winter steelhead 2025-26,2026-02-01,Bank,3,3,1
Lower Chehalis salmon 2023,2023-09-01,Bank,68,312,0.21794871794871795
Lower Chehalis salmon 2023,2023-09-01,Boat,244,312,0.782051282051282
Lower Chehalis salmon 2023,2023-10-01,Bank,84,325,0.25846153846153846
Lower Chehalis salmon 2023,2023-10-01,Boat,241,325,0.7415384615384616
Lower Chehalis salmon 2023,2023-11-01,Bank,78,113,0.6902654867256637
Lower Chehalis salmon 2023,2023-11-01,Boat,35,113,0.30973451327433627
