fishery_name,month,combined_type,n,total,prop
Drano Lake salmon and steelhead 2026,2026-07-01,Unguided-Bank,5,20,0.25
Drano Lake salmon and steelhead 2026,2026-07-01,Unguided-Boat,15,20,0.75
Drano Lake salmon and steelhead 2026,2026-08-01,Guided-Bank,0,50,0
Drano Lake salmon and steelhead 2026,2026-08-01,Guided-Boat,0,50,0
Drano Lake salmon and steelhead 2026,2026-08-01,Unguided-Bank,11,50,0.22
Drano Lake salmon and steelhead 2026,2026-08-01,Unguided-Boat,39,50,0.78
Drano Lake spring Chinook 2026,2026-04-01,Guided-Bank,0,316,0
Drano Lake spring Chinook 2026,2026-04-01,Guided-Boat,44,316,0.13924050632911392
Drano Lake spring Chinook 2026,2026-04-01,Unguided-Bank,53,316,0.16772151898734178
Drano Lake spring Chinook 2026,2026-04-01,Unguided-Boat,219,316,0.6930379746835443
Drano Lake spring Chinook 2026,2026-05-01,Guided-Bank,0,474,0
Drano Lake spring Chinook 2026,2026-05-01,Guided-Boat,100,474,0.2109704641350211
Drano Lake spring Chinook 2026,2026-05-01,Unguided-Bank,109,474,0.229957805907173
Drano Lake spring Chinook 2026,2026-05-01,Unguided-Boat,265,474,0.5590717299578059
Drano Lake spring Chinook 2026,2026-06-01,Guided-Bank,0,23,0
Drano Lake spring Chinook 2026,2026-06-01,Guided-Boat,1,23,0.043478260869565216
Drano Lake spring Chinook 2026,2026-06-01,Unguided-Bank,7,23,0.30434782608695654
Drano Lake spring Chinook 2026,2026-06-01,Unguided-Boat,15,23,0.6521739130434783
Drano Lake spring Chinook 2026,2026-07-01,Guided-Bank,0,20,0
Drano Lake spring Chinook 2026,2026-07-01,Guided-Boat,0,20,0
Drano Lake spring Chinook 2026,2026-07-01,Unguided-Bank,5,20,0.25
Drano Lake spring Chinook 2026,2026-07-01,Unguided-Boat,15,20,0.75
Hoh fall salmon 2023,2023-09-01,Guided-Bank,2,62,0.03225806451612903
Hoh fall salmon 2023,2023-09-01,Guided-Boat,10,62,0.16129032258064516
Hoh fall salmon 2023,2023-09-01,Unguided-Bank,40,62,0.6451612903225806
Hoh fall salmon 2023,2023-09-01,Unguided-Boat,10,62,0.16129032258064516
Hoh fall salmon 2025,2025-09-01,Guided-Bank,0,63,0
Hoh fall salmon 2025,2025-09-01,Guided-Boat,12,63,0.19047619047619047
Hoh fall salmon 2025,2025-09-01,Unguided-Bank,37,63,0.5873015873015873
Hoh fall salmon 2025,2025-09-01,Unguided-Boat,14,63,0.2222222222222222
Hoh fall salmon 2025,2025-10-01,Guided-Bank,0,109,0
Hoh fall salmon 2025,2025-10-01,Guided-Boat,30,109,0.27522935779816515
Hoh fall salmon 2025,2025-10-01,Unguided-Bank,52,109,0.47706422018348627
Hoh fall salmon 2025,2025-10-01,Unguided-Boat,27,109,0.24770642201834864
Hoh fall salmon 2025,2025-11-01,Guided-Bank,0,41,0
Hoh fall salmon 2025,2025-11-01,Guided-Boat,8,41,0.1951219512195122
Hoh fall salmon 2025,2025-11-01,Unguided-Bank,24,41,0.5853658536585366
Hoh fall salmon 2025,2025-11-01,Unguided-Boat,9,41,0.21951219512195122
Hoh fall salmon 2025,2025-12-01,Guided-Bank,0,1,0
Hoh fall salmon 2025,2025-12-01,Guided-Boat,0,1,0
Hoh fall salmon 2025,2025-12-01,Unguided-Bank,0,1,0
Hoh fall salmon 2025,2025-12-01,Unguided-Boat,1,1,1
Hoh winter steelhead 2022-23,2022-12-01,Guided-Bank,0,18,0
Hoh winter steelhead 2022-23,2022-12-01,Guided-Boat,0,18,0
Hoh winter steelhead 2022-23,2022-12-01,Unguided-Bank,18,18,1
Hoh winter steelhead 2022-23,2022-12-01,Unguided-Boat,0,18,0
Hoh winter steelhead 2022-23,2023-01-01,Guided-Bank,13,109,0.11926605504587157
Hoh winter steelhead 2022-23,2023-01-01,Guided-Boat,3,109,0.027522935779816515
Hoh winter steelhead 2022-23,2023-01-01,Unguided-Bank,92,109,0.8440366972477065
Hoh winter steelhead 2022-23,2023-01-01,Unguided-Boat,1,109,0.009174311926605505
Hoh winter steelhead 2022-23,2023-02-01,Guided-Bank,65,228,0.2850877192982456
Hoh winter steelhead 2022-23,2023-02-01,Guided-Boat,3,228,0.013157894736842105
Hoh winter steelhead 2022-23,2023-02-01,Unguided-Bank,157,228,0.6885964912280702
Hoh winter steelhead 2022-23,2023-02-01,Unguided-Boat,3,228,0.013157894736842105
Hoh winter steelhead 2022-23,2023-03-01,Guided-Bank,97,311,0.31189710610932475
Hoh winter steelhead 2022-23,2023-03-01,Guided-Boat,0,311,0
Hoh winter steelhead 2022-23,2023-03-01,Unguided-Bank,213,311,0.684887459807074
Hoh winter steelhead 2022-23,2023-03-01,Unguided-Boat,1,311,0.003215434083601286
Hoh winter steelhead 2023-24,2023-12-01,Guided-Bank,1,46,0.021739130434782608
Hoh winter steelhead 2023-24,2023-12-01,Guided-Boat,0,46,0
Hoh winter steelhead 2023-24,2023-12-01,Unguided-Bank,42,46,0.9130434782608695
Hoh winter steelhead 2023-24,2023-12-01,Unguided-Boat,3,46,0.06521739130434782
Hoh winter steelhead 2023-24,2024-01-01,Guided-Bank,14,91,0.15384615384615385
Hoh winter steelhead 2023-24,2024-01-01,Guided-Boat,4,91,0.04395604395604396
Hoh winter steelhead 2023-24,2024-01-01,Unguided-Bank,66,91,0.7252747252747253
Hoh winter steelhead 2023-24,2024-01-01,Unguided-Boat,7,91,0.07692307692307693
Hoh winter steelhead 2023-24,2024-02-01,Guided-Bank,42,298,0.14093959731543623
Hoh winter steelhead 2023-24,2024-02-01,Guided-Boat,49,298,0.1644295302013423
Hoh winter steelhead 2023-24,2024-02-01,Unguided-Bank,165,298,0.5536912751677853
Hoh winter steelhead 2023-24,2024-02-01,Unguided-Boat,42,298,0.14093959731543623
Hoh winter steelhead 2023-24,2024-03-01,Guided-Bank,48,321,0.14953271028037382
Hoh winter steelhead 2023-24,2024-03-01,Guided-Boat,62,321,0.19314641744548286
Hoh winter steelhead 2023-24,2024-03-01,Unguided-Bank,163,321,0.5077881619937694
Hoh winter steelhead 2023-24,2024-03-01,Unguided-Boat,48,321,0.14953271028037382
Hoh winter steelhead 2024-25,2024-12-01,Guided-Bank,0,10,0
Hoh winter steelhead 2024-25,2024-12-01,Guided-Boat,1,10,0.1
Hoh winter steelhead 2024-25,2024-12-01,Unguided-Bank,9,10,0.9
Hoh winter steelhead 2024-25,2024-12-01,Unguided-Boat,0,10,0
Hoh winter steelhead 2024-25,2025-01-01,Guided-Bank,16,154,0.1038961038961039
Hoh winter steelhead 2024-25,2025-01-01,Guided-Boat,23,154,0.14935064935064934
Hoh winter steelhead 2024-25,2025-01-01,Unguided-Bank,74,154,0.4805194805194805
Hoh winter steelhead 2024-25,2025-01-01,Unguided-Boat,41,154,0.2662337662337662
Hoh winter steelhead 2024-25,2025-02-01,Guided-Bank,29,199,0.1457286432160804
Hoh winter steelhead 2024-25,2025-02-01,Guided-Boat,56,199,0.2814070351758794
Hoh winter steelhead 2024-25,2025-02-01,Unguided-Bank,79,199,0.3969849246231156
Hoh winter steelhead 2024-25,2025-02-01,Unguided-Boat,35,199,0.17587939698492464
Hoh winter steelhead 2024-25,2025-03-01,Guided-Bank,28,190,0.14736842105263157
Hoh winter steelhead 2024-25,2025-03-01,Guided-Boat,35,190,0.18421052631578946
Hoh winter steelhead 2024-25,2025-03-01,Unguided-Bank,103,190,0.5421052631578948
Hoh winter steelhead 2024-25,2025-03-01,Unguided-Boat,24,190,0.12631578947368421
Hoh winter steelhead 2025-26,2025-12-01,Guided-Bank,0,22,0
Hoh winter steelhead 2025-26,2025-12-01,Guided-Boat,0,22,0
Hoh winter steelhead 2025-26,2025-12-01,Unguided-Bank,21,22,0.9545454545454546
Hoh winter steelhead 2025-26,2025-12-01,Unguided-Boat,1,22,0.045454545454545456
Hoh winter steelhead 2025-26,2026-01-01,Guided-Bank,8,105,0.0761904761904762
Hoh winter steelhead 2025-26,2026-01-01,Guided-Boat,11,105,0.10476190476190476
Hoh winter steelhead 2025-26,2026-01-01,Unguided-Bank,71,105,0.6761904761904762
Hoh winter steelhead 2025-26,2026-01-01,Unguided-Boat,15,105,0.14285714285714285
Hoh winter steelhead 2025-26,2026-02-01,Guided-Bank,26,291,0.08934707903780069
Hoh winter steelhead 2025-26,2026-02-01,Guided-Boat,65,291,0.22336769759450173
Hoh winter steelhead 2025-26,2026-02-01,Unguided-Bank,153,291,0.5257731958762887
