fishery_name,month,combined_type,n,total,prop
Humptulips salmon 2020,2020-11-01,Unguided-Boat,30,162,0.18518518518518517
Humptulips salmon 2021,2021-09-01,Guided-Bank,0,327,0
Humptulips salmon 2021,2021-09-01,Guided-Boat,38,327,0.1162079510703364
Humptulips salmon 2021,2021-09-01,Unguided-Bank,134,327,0.40978593272171254
Humptulips salmon 2021,2021-09-01,Unguided-Boat,155,327,0.4740061162079511
Humptulips salmon 2021,2021-10-01,Guided-Bank,1,283,0.0035335689045936395
Humptulips salmon 2021,2021-10-01,Guided-Boat,33,283,0.1166077738515901
Humptulips salmon 2021,2021-10-01,Unguided-Bank,173,283,0.6113074204946997
Humptulips salmon 2021,2021-10-01,Unguided-Boat,76,283,0.26855123674911663
Humptulips salmon 2021,2021-11-01,Guided-Bank,0,113,0
Humptulips salmon 2021,2021-11-01,Guided-Boat,23,113,0.20353982300884957
Humptulips salmon 2021,2021-11-01,Unguided-Bank,77,113,0.6814159292035398
Humptulips salmon 2021,2021-11-01,Unguided-Boat,13,113,0.11504424778761062
Humptulips salmon 2022,2022-09-01,Guided-Bank,1,266,0.0037593984962406013
Humptulips salmon 2022,2022-09-01,Guided-Boat,30,266,0.11278195488721804
Humptulips salmon 2022,2022-09-01,Unguided-Bank,147,266,0.5526315789473685
Humptulips salmon 2022,2022-09-01,Unguided-Boat,88,266,0.3308270676691729
Humptulips salmon 2022,2022-10-01,Guided-Bank,0,95,0
Humptulips salmon 2022,2022-10-01,Guided-Boat,5,95,0.05263157894736842
Humptulips salmon 2022,2022-10-01,Unguided-Bank,61,95,0.6421052631578947
Humptulips salmon 2022,2022-10-01,Unguided-Boat,29,95,0.30526315789473685
Humptulips salmon 2022,2022-11-01,Guided-Bank,0,212,0
Humptulips salmon 2022,2022-11-01,Guided-Boat,15,212,0.07075471698113207
Humptulips salmon 2022,2022-11-01,Unguided-Bank,146,212,0.6886792452830188
Humptulips salmon 2022,2022-11-01,Unguided-Boat,51,212,0.24056603773584906
Humptulips salmon 2022,2022-12-01,Guided-Bank,0,96,0
Humptulips salmon 2022,2022-12-01,Guided-Boat,0,96,0
Humptulips salmon 2022,2022-12-01,Unguided-Bank,96,96,1
Humptulips salmon 2022,2022-12-01,Unguided-Boat,0,96,0
Humptulips salmon 2023,2023-09-01,Guided-Bank,3,312,0.009615384615384616
Humptulips salmon 2023,2023-09-01,Guided-Boat,23,312,0.07371794871794872
Humptulips salmon 2023,2023-09-01,Unguided-Bank,193,312,0.6185897435897436
Humptulips salmon 2023,2023-09-01,Unguided-Boat,93,312,0.2980769230769231
Humptulips salmon 2023,2023-10-01,Guided-Bank,1,344,0.0029069767441860465
Humptulips salmon 2023,2023-10-01,Guided-Boat,24,344,0.06976744186046512
Humptulips salmon 2023,2023-10-01,Unguided-Bank,215,344,0.625
Humptulips salmon 2023,2023-10-01,Unguided-Boat,104,344,0.3023255813953488
Humptulips salmon 2023,2023-11-01,Guided-Bank,0,212,0
Humptulips salmon 2023,2023-11-01,Guided-Boat,22,212,0.10377358490566038
Humptulips salmon 2023,2023-11-01,Unguided-Bank,155,212,0.7311320754716981
Humptulips salmon 2023,2023-11-01,Unguided-Boat,35,212,0.1650943396226415
Humptulips salmon 2024,2024-09-01,Guided-Bank,2,321,0.006230529595015576
Humptulips salmon 2024,2024-09-01,Guided-Boat,20,321,0.06230529595015576
Humptulips salmon 2024,2024-09-01,Unguided-Bank,200,321,0.6230529595015576
Humptulips salmon 2024,2024-09-01,Unguided-Boat,99,321,0.308411214953271
Humptulips salmon 2024,2024-10-01,Guided-Bank,0,317,0
Humptulips salmon 2024,2024-10-01,Guided-Boat,35,317,0.11041009463722397
Humptulips salmon 2024,2024-10-01,Unguided-Bank,222,317,0.7003154574132492
Humptulips salmon 2024,2024-10-01,Unguided-Boat,60,317,0.1892744479495268
Humptulips salmon 2024,2024-11-01,Guided-Bank,0,156,0
Humptulips salmon 2024,2024-11-01,Guided-Boat,6,156,0.038461538461538464
Humptulips salmon 2024,2024-11-01,Unguided-Bank,130,156,0.8333333333333334
Humptulips salmon 2024,2024-11-01,Unguided-Boat,20,156,0.1282051282051282
Humptulips salmon 2024,2024-12-01,Guided-Bank,1,107,0.009345794392523364
Humptulips salmon 2024,2024-12-01,Guided-Boat,3,107,0.028037383177570093
Humptulips salmon 2024,2024-12-01,Unguided-Bank,92,107,0.8598130841121495
Humptulips salmon 2024,2024-12-01,Unguided-Boat,11,107,0.102803738317757
Humptulips salmon 2025,2025-09-01,Guided-Bank,1,183,0.00546448087431694
Humptulips salmon 2025,2025-09-01,Guided-Boat,11,183,0.060109289617486336
Humptulips salmon 2025,2025-09-01,Unguided-Bank,109,183,0.5956284153005464
Humptulips salmon 2025,2025-09-01,Unguided-Boat,62,183,0.33879781420765026
Humptulips salmon 2025,2025-10-01,Guided-Bank,1,327,0.0030581039755351682
Humptulips salmon 2025,2025-10-01,Guided-Boat,14,327,0.04281345565749235
Humptulips salmon 2025,2025-10-01,Unguided-Bank,247,327,0.7553516819571865
Humptulips salmon 2025,2025-10-01,Unguided-Boat,65,327,0.19877675840978593
Humptulips salmon 2025,2025-11-01,Guided-Bank,0,253,0
Humptulips salmon 2025,2025-11-01,Guided-Boat,14,253,0.05533596837944664
Humptulips salmon 2025,2025-11-01,Unguided-Bank,193,253,0.7628458498023716
Humptulips salmon 2025,2025-11-01,Unguided-Boat,46,253,0.18181818181818182
Humptulips salmon 2025,2025-12-01,Guided-Bank,0,147,0
Humptulips salmon 2025,2025-12-01,Guided-Boat,1,147,0.006802721088435374
Humptulips salmon 2025,2025-12-01,Unguided-Bank,142,147,0.9659863945578231
Humptulips salmon 2025,2025-12-01,Unguided-Boat,4,147,0.027210884353741496
Humptulips winter steelhead 2024-25,2024-11-01,Guided-Bank,0,153,0
Humptulips winter steelhead 2024-25,2024-11-01,Guided-Boat,6,153,0.0392156862745098
Humptulips winter steelhead 2024-25,2024-11-01,Unguided-Bank,127,153,0.8300653594771242
Humptulips winter steelhead 2024-25,2024-11-01,Unguided-Boat,20,153,0.13071895424836602
Humptulips winter steelhead 2024-25,2024-12-01,Guided-Bank,1,107,0.009345794392523364
Humptulips winter steelhead 2024-25,2024-12-01,Guided-Boat,3,107,0.028037383177570093
Humptulips winter steelhead 2024-25,2024-12-01,Unguided-Bank,92,107,0.8598130841121495
Humptulips winter steelhead 2024-25,2024-12-01,Unguided-Boat,11,107,0.102803738317757
Humptulips winter steelhead 2024-25,2025-01-01,Guided-Bank,0,102,0
Humptulips winter steelhead 2024-25,2025-01-01,Guided-Boat,4,102,0.0392156862745098
Humptulips winter steelhead 2024-25,2025-01-01,Unguided-Bank,85,102,0.8333333333333334
Humptulips winter steelhead 2024-25,2025-01-01,Unguided-Boat,13,102,0.12745098039215685
Humptulips winter steelhead 2024-25,2025-02-01,Guided-Bank,0,3,0
Humptulips winter steelhead 2024-25,2025-02-01,Guided-Boat,0,3,0
Humptulips winter steelhead 2024-25,2025-02-01,Unguided-Bank,3,3,1
Humptulips winter steelhead 2024-25,2025-02-01,Unguided-Boat,0,3,0
Humptulips winter steelhead 2025-26,2025-11-01,Guided-Bank,0,253,0
Humptulips winter steelhead 2025-26,2025-11-01,Guided-Boat,14,253,0.05533596837944664
Humptulips winter steelhead 2025-26,2025-11-01,Unguided-Bank,193,253,0.7628458498023716
Humptulips winter steelhead 2025-26,2025-11-01,Unguided-Boat,46,253,0.18181818181818182
Humptulips winter steelhead 2025-26,2025-12-01,Guided-Bank,0,147,0
Humptulips winter steelhead 2025-26,2025-12-01,Guided-Boat,1,147,0.006802721088435374
Humptulips winter steelhead 2025-26,2025-12-01,Unguided-Bank,142,147,0.9659863945578231
Humptulips winter steelhead 2025-26,2025-12-01,Unguided-Boat,4,147,0.027210884353741496
Humptulips winter steelhead 2025-26,2026-01-01,Guided-Bank,1,132,0.007575757575757576
Humptulips winter steelhead 2025-26,2026-01-01,Guided-Boat,1,132,0.007575757575757576
Humptulips winter steelhead 2025-26,2026-01-01,Unguided-Bank,116,132,0.8787878787878788
Humptulips winter steelhead 2025-26,2026-01-01,Unguided-Boat,14,132,0.10606060606060606
Humptulips winter steelhead 2025-26,2026-02-01,Guided-Bank,0,3,0
Humptulips winter steelhead 2025-26,2026-02-01,Guided-Boat,0,3,0
Humptulips winter steelhead 2025-26,2026-02-01,Unguided-Bank,3,3,1
Humptulips winter steelhead 2025-26,2026-02-01,Unguided-Boat,0,3,0
Lower Chehalis salmon 2023,2023-09-01,Guided-Bank,0,309,0
Lower Chehalis salmon 2023,2023-09-01,Guided-Boat,4,309,0.012944983818770227
Lower Chehalis salmon 2023,2023-09-01,Unguided-Bank,68,309,0.22006472491909385
Lower Chehalis salmon 2023,2023-09-01,Unguided-Boat,237,309,0.7669902912621359
Lower Chehalis salmon 2023,2023-10-01,Guided-Bank,0,322,0
Lower Chehalis salmon 2023,2023-10-01,Guided-Boat,4,322,0.012422360248447204
Lower Chehalis salmon 2023,2023-10-01,Unguided-Bank,82,322,0.2546583850931677
Lower Chehalis salmon 2023,2023-10-01,Unguided-Boat,236,322,0.7329192546583851
Lower Chehalis salmon 2023,2023-11-01,Guided-Bank,0,112,0
Lower Chehalis salmon 2023,2023-11-01,Guided-Boat,1,112,0.008928571428571428
Lower Chehalis salmon 2023,2023-11-01,Unguided-Bank,77,112,0.6875
Lower Chehalis salmon 2023,2023-11-01,Unguided-Boat,34,112,0.30357142857142855
Lower Cowlitz salmon and steelhead 2022-23,2022-08-01,Guided-Bank,0,37,0
Lower Cowlitz salmon and steelhead 2022-23,2022-08-01,Guided-Boat,17,37,0.4594594594594595
Lower Cowlitz salmon and steelhead 2022-23,2022-08-01,Unguided-Bank,0,37,0
Lower Cowlitz salmon and steelhead 2022-23,2022-08-01,Unguided-Boat,20,37,0.5405405405405406
Lower Cowlitz salmon and steelhead 2022-23,2022-09-01,Guided-Bank,0,45,0
Lower Cowlitz salmon and steelhead 2022-23,2022-09-01,Guided-Boat,4,45,0.08888888888888889
Lower Cowlitz salmon and steelhead 2022-23,2022-09-01,Unguided-Bank,0,45,0
Lower Cowlitz salmon and steelhead 2022-23,2022-09-01,Unguided-Boat,41,45,0.9111111111111111
Lower Cowlitz salmon and steelhead 2022-23,2022-10-01,Guided-Bank,0,19,0
Lower Cowlitz salmon and steelhead 2022-23,2022-10-01,Guided-Boat,1,19,0.05263157894736842
Lower Cowlitz salmon and steelhead 2022-23,2022-10-01,Unguided-Bank,1,19,0.05263157894736842
Lower Cowlitz salmon and steelhead 2022-23,2022-10-01,Unguided-Boat,17,19,0.8947368421052632
Lower Cowlitz salmon and steelhead 2022-23,2022-11-01,Guided-Bank,0,7,0
Lower Cowlitz salmon and steelhead 2022-23,2022-11-01,Guided-Boat,1,7,0.14285714285714285
Lower Cowlitz salmon and steelhead 2022-23,2022-11-01,Unguided-Bank,0,7,0
Lower Cowlitz salmon and steelhead 2022-23,2022-11-01,Unguided-Boat,6,7,0.8571428571428571
Lower Cowlitz salmon and steelhead 2022-23,2023-02-01,Guided-Bank,0,19,0
Lower Cowlitz salmon and steelhead 2022-23,2023-02-01,Guided-Boat,10,19,0.5263157894736842
Lower Cowlitz salmon and steelhead 2022-23,2023-02-01,Unguided-Bank,1,19,0.05263157894736842
Lower Cowlitz salmon and steelhead 2022-23,2023-02-01,Unguided-Boat,8,19,0.42105263157894735
Lower Cowlitz salmon and steelhead 2022-23,2023-03-01,Guided-Bank,0,31,0
Lower Cowlitz salmon and steelhead 2022-23,2023-03-01,Guided-Boat,17,31,0.5483870967741935
Lower Cowlitz salmon and steelhead 2022-23,2023-03-01,Unguided-Bank,3,31,0.0967741935483871
Lower Cowlitz salmon and steelhead 2022-23,2023-03-01,Unguided-Boat,11,31,0.3548387096774194
Lower Cowlitz salmon and steelhead 2022-23,2023-04-01,Guided-Bank,0,14,0
Lower Cowlitz salmon and steelhead 2022-23,2023-04-01,Guided-Boat,6,14,0.42857142857142855
Lower Cowlitz salmon and steelhead 2022-23,2023-04-01,Unguided-Bank,2,14,0.14285714285714285
Lower Cowlitz salmon and steelhead 2022-23,2023-04-01,Unguided-Boat,6,14,0.42857142857142855
Lower Cowlitz salmon and steelhead 2022-23,2023-05-01,Guided-Bank,0,14,0
Lower Cowlitz salmon and steelhead 2022-23,2023-05-01,Guided-Boat,3,14,0.21428571428571427
Lower Cowlitz salmon and steelhead 2022-23,2023-05-01,Unguided-Bank,0,14,0
Lower Cowlitz salmon and steelhead 2022-23,2023-05-01,Unguided-Boat,11,14,0.7857142857142857
Lower Cowlitz salmon and steelhead 2022-23,2023-06-01,Guided-Bank,0,32,0
Lower Cowlitz salmon and steelhead 2022-23,2023-06-01,Guided-Boat,15,32,0.46875
Lower Cowlitz salmon and steelhead 2022-23,2023-06-01,Unguided-Bank,3,32,0.09375
Lower Cowlitz salmon and steelhead 2022-23,2023-06-01,Unguided-Boat,14,32,0.4375
Lower Cowlitz salmon and steelhead 2022-23,2023-07-01,Guided-Bank,0,91,0
Lower Cowlitz salmon and steelhead 2022-23,2023-07-01,Guided-Boat,45,91,0.4945054945054945
Lower Cowlitz salmon and steelhead 2022-23,2023-07-01,Unguided-Bank,16,91,0.17582417582417584
Lower Cowlitz salmon and steelhead 2022-23,2023-07-01,Unguided-Boat,30,91,0.32967032967032966
Lower Cowlitz salmon and steelhead 2023-24,2023-08-01,Guided-Bank,0,79,0
Lower Cowlitz salmon and steelhead 2023-24,2023-08-01,Guided-Boat,15,79,0.189873417721519
Lower Cowlitz salmon and steelhead 2023-24,2023-08-01,Unguided-Bank,51,79,0.6455696202531646
Lower Cowlitz salmon and steelhead 2023-24,2023-08-01,Unguided-Boat,13,79,0.16455696202531644
Lower Cowlitz salmon and steelhead 2023-24,2023-09-01,Guided-Bank,0,214,0
Lower Cowlitz salmon and steelhead 2023-24,2023-09-01,Guided-Boat,2,214,0.009345794392523364
Lower Cowlitz salmon and steelhead 2023-24,2023-09-01,Unguided-Bank,181,214,0.8457943925233645
Lower Cowlitz salmon and steelhead 2023-24,2023-09-01,Unguided-Boat,31,214,0.14485981308411214
Lower Cowlitz salmon and steelhead 2023-24,2023-10-01,Guided-Bank,1,216,0.004629629629629629
Lower Cowlitz salmon and steelhead 2023-24,2023-10-01,Guided-Boat,6,216,0.027777777777777776
Lower Cowlitz salmon and steelhead 2023-24,2023-10-01,Unguided-Bank,194,216,0.8981481481481481
Lower Cowlitz salmon and steelhead 2023-24,2023-10-01,Unguided-Boat,15,216,0.06944444444444445
Lower Cowlitz salmon and steelhead 2023-24,2023-11-01,Guided-Bank,0,100,0
Lower Cowlitz salmon and steelhead 2023-24,2023-11-01,Guided-Boat,2,100,0.02
Lower Cowlitz salmon and steelhead 2023-24,2023-11-01,Unguided-Bank,93,100,0.93
Lower Cowlitz salmon and steelhead 2023-24,2023-11-01,Unguided-Boat,5,100,0.05
Lower Cowlitz salmon and steelhead 2023-24,2023-12-01,Guided-Bank,1,50,0.02
Lower Cowlitz salmon and steelhead 2023-24,2023-12-01,Guided-Boat,0,50,0
Lower Cowlitz salmon and steelhead 2023-24,2023-12-01,Unguided-Bank,45,50,0.9
Lower Cowlitz salmon and steelhead 2023-24,2023-12-01,Unguided-Boat,4,50,0.08
Lower Cowlitz salmon and steelhead 2023-24,2024-01-01,Guided-Bank,0,165,0
Lower Cowlitz salmon and steelhead 2023-24,2024-01-01,Guided-Boat,21,165,0.12727272727272726
Lower Cowlitz salmon and steelhead 2023-24,2024-01-01,Unguided-Bank,127,165,0.7696969696969697
Lower Cowlitz salmon and steelhead 2023-24,2024-01-01,Unguided-Boat,17,165,0.10303030303030303
Lower Cowlitz salmon and steelhead 2023-24,2024-02-01,Guided-Bank,0,244,0
Lower Cowlitz salmon and steelhead 2023-24,2024-02-01,Guided-Boat,53,244,0.21721311475409835
Lower Cowlitz salmon and steelhead 2023-24,2024-02-01,Unguided-Bank,149,244,0.610655737704918
Lower Cowlitz salmon and steelhead 2023-24,2024-02-01,Unguided-Boat,42,244,0.1721311475409836
Lower Cowlitz salmon and steelhead 2023-24,2024-03-01,Guided-Bank,0,279,0
Lower Cowlitz salmon and steelhead 2023-24,2024-03-01,Guided-Boat,93,279,0.3333333333333333
Lower Cowlitz salmon and steelhead 2023-24,2024-03-01,Unguided-Bank,144,279,0.5161290322580645
Lower Cowlitz salmon and steelhead 2023-24,2024-03-01,Unguided-Boat,42,279,0.15053763440860216
Lower Cowlitz salmon and steelhead 2023-24,2024-04-01,Guided-Bank,0,150,0
Lower Cowlitz salmon and steelhead 2023-24,2024-04-01,Guided-Boat,11,150,0.07333333333333333
Lower Cowlitz salmon and steelhead 2023-24,2024-04-01,Unguided-Bank,131,150,0.8733333333333333
Lower Cowlitz salmon and steelhead 2023-24,2024-04-01,Unguided-Boat,8,150,0.05333333333333334
Lower Cowlitz salmon and steelhead 2023-24,2024-05-01,Guided-Bank,0,89,0
Lower Cowlitz salmon and steelhead 2023-24,2024-05-01,Guided-Boat,3,89,0.033707865168539325
Lower Cowlitz salmon and steelhead 2023-24,2024-05-01,Unguided-Bank,82,89,0.9213483146067416
Lower Cowlitz salmon and steelhead 2023-24,2024-05-01,Unguided-Boat,4,89,0.0449438202247191
Lower Cowlitz salmon and steelhead 2023-24,2024-06-01,Guided-Bank,0,112,0
Lower Cowlitz salmon and steelhead 2023-24,2024-06-01,Guided-Boat,26,112,0.23214285714285715
Lower Cowlitz salmon and steelhead 2023-24,2024-06-01,Unguided-Bank,74,112,0.6607142857142857
Lower Cowlitz salmon and steelhead 2023-24,2024-06-01,Unguided-Boat,12,112,0.10714285714285714
Lower Cowlitz salmon and steelhead 2023-24,2024-07-01,Guided-Bank,2,118,0.01694915254237288
Lower Cowlitz salmon and steelhead 2023-24,2024-07-01,Guided-Boat,27,118,0.2288135593220339
Lower Cowlitz salmon and steelhead 2023-24,2024-07-01,Unguided-Bank,70,118,0.5932203389830508
Lower Cowlitz salmon and steelhead 2023-24,2024-07-01,Unguided-Boat,19,118,0.16101694915254236
Naselle winter steelhead 2022,2022-01-01,Guided-Bank,0,106,0
Naselle winter steelhead 2022,2022-01-01,Guided-Boat,2,106,0.018867924528301886
Naselle winter steelhead 2022,2022-01-01,Unguided-Bank,104,106,0.9811320754716981
Naselle winter steelhead 2022,2022-01-01,Unguided-Boat,0,106,0
Naselle winter steelhead 2022,2022-02-01,Guided-Bank,0,60,0
Naselle winter steelhead 2022,2022-02-01,Guided-Boat,0,60,0
Naselle winter steelhead 2022,2022-02-01,Unguided-Bank,58,60,0.9666666666666667
Naselle winter steelhead 2022,2022-02-01,Unguided-Boat,2,60,0.03333333333333333
Naselle winter steelhead 2022-23,2022-12-01,Guided-Bank,0,17,0
Naselle winter steelhead 2022-23,2022-12-01,Guided-Boat,0,17,0
Naselle winter steelhead 2022-23,2022-12-01,Unguided-Bank,17,17,1
Naselle winter steelhead 2022-23,2022-12-01,Unguided-Boat,0,17,0
Naselle winter steelhead 2022-23,2023-01-01,Guided-Bank,0,58,0
Naselle winter steelhead 2022-23,2023-01-01,Guided-Boat,0,58,0
Naselle winter steelhead 2022-23,2023-01-01,Unguided-Bank,58,58,1
Naselle winter steelhead 2022-23,2023-01-01,Unguided-Boat,0,58,0
Naselle winter steelhead 2022-23,2023-02-01,Guided-Bank,0,66,0
Naselle winter steelhead 2022-23,2023-02-01,Guided-Boat,0,66,0
Naselle winter steelhead 2022-23,2023-02-01,Unguided-Bank,66,66,1
Naselle winter steelhead 2022-23,2023-02-01,Unguided-Boat,0,66,0
Naselle winter steelhead 2022-23,2023-03-01,Guided-Bank,0,60,0
Naselle winter steelhead 2022-23,2023-03-01,Guided-Boat,0,60,0
Naselle winter steelhead 2022-23,2023-03-01,Unguided-Bank,60,60,1
Naselle winter steelhead 2022-23,2023-03-01,Unguided-Boat,0,60,0
Naselle winter steelhead 2023-24,2023-12-01,Guided-Bank,0,127,0
Naselle winter steelhead 2023-24,2023-12-01,Guided-Boat,1,127,0.007874015748031496
Naselle winter steelhead 2023-24,2023-12-01,Unguided-Bank,118,127,0.9291338582677166
Naselle winter steelhead 2023-24,2023-12-01,Unguided-Boat,8,127,0.06299212598425197
Naselle winter steelhead 2023-24,2024-01-01,Guided-Bank,0,66,0
Naselle winter steelhead 2023-24,2024-01-01,Guided-Boat,0,66,0
Naselle winter steelhead 2023-24,2024-01-01,Unguided-Bank,59,66,0.8939393939393939
Naselle winter steelhead 2023-24,2024-01-01,Unguided-Boat,7,66,0.10606060606060606
Naselle winter steelhead 2023-24,2024-02-01,Guided-Bank,1,71,0.014084507042253521
Naselle winter steelhead 2023-24,2024-02-01,Guided-Boat,1,71,0.014084507042253521
Naselle winter steelhead 2023-24,2024-02-01,Unguided-Bank,56,71,0.7887323943661971
Naselle winter steelhead 2023-24,2024-02-01,Unguided-Boat,13,71,0.18309859154929578
Naselle winter steelhead 2023-24,2024-03-01,Guided-Bank,1,47,0.02127659574468085
Naselle winter steelhead 2023-24,2024-03-01,Guided-Boat,1,47,0.02127659574468085
Naselle winter steelhead 2023-24,2024-03-01,Unguided-Bank,37,47,0.7872340425531915
Naselle winter steelhead 2023-24,2024-03-01,Unguided-Boat,8,47,0.1702127659574468
Nooksack fall salmon 2023,2023-11-01,Guided-Bank,0,27,0
Nooksack fall salmon 2023,2023-11-01,Guided-Boat,0,27,0
Nooksack fall salmon 2023,2023-11-01,Unguided-Bank,23,27,0.8518518518518519
Nooksack fall salmon 2023,2023-11-01,Unguided-Boat,4,27,0.14814814814814814
Nooksack fall salmon 2024,2024-11-01,Guided-Bank,0,58,0
Nooksack fall salmon 2024,2024-11-01,Guided-Boat,0,58,0
Nooksack fall salmon 2024,2024-11-01,Unguided-Bank,55,58,0.9482758620689655
Nooksack fall salmon 2024,2024-11-01,Unguided-Boat,3,58,0.05172413793103448
Nooksack spring Chinook 2022,2022-05-01,Guided-Bank,0,35,0
Nooksack spring Chinook 2022,2022-05-01,Guided-Boat,0,35,0
Nooksack spring Chinook 2022,2022-05-01,Unguided-Bank,34,35,0.9714285714285714
Nooksack spring Chinook 2022,2022-05-01,Unguided-Boat,1,35,0.02857142857142857
Nooksack spring Chinook 2022,2022-06-01,Guided-Bank,0,93,0
Nooksack spring Chinook 2022,2022-06-01,Guided-Boat,0,93,0
Nooksack spring Chinook 2022,2022-06-01,Unguided-Bank,93,93,1
Nooksack spring Chinook 2022,2022-06-01,Unguided-Boat,0,93,0
Nooksack spring Chinook 2022,2022-07-01,Guided-Bank,0,32,0
Nooksack spring Chinook 2022,2022-07-01,Guided-Boat,0,32,0
Nooksack spring Chinook 2022,2022-07-01,Unguided-Bank,29,32,0.90625
Nooksack spring Chinook 2022,2022-07-01,Unguided-Boat,3,32,0.09375
Nooksack spring Chinook 2026,2026-05-01,Guided-Bank,0,123,0
Nooksack spring Chinook 2026,2026-05-01,Guided-Boat,0,123,0
Nooksack spring Chinook 2026,2026-05-01,Unguided-Bank,108,123,0.8780487804878049
Nooksack spring Chinook 2026,2026-05-01,Unguided-Boat,15,123,0.12195121951219512
Nooksack spring Chinook 2026,2026-06-01,Guided-Bank,0,113,0
Nooksack spring Chinook 2026,2026-06-01,Guided-Boat,2,113,0.017699115044247787
Nooksack spring Chinook 2026,2026-06-01,Unguided-Bank,104,113,0.9203539823008849
Nooksack spring Chinook 2026,2026-06-01,Unguided-Boat,7,113,0.061946902654867256
Nooksack winter gamefish 2021-22,2022-01-01,Guided-Bank,0,63,0
Nooksack winter gamefish 2021-22,2022-01-01,Guided-Boat,0,63,0
Nooksack winter gamefish 2021-22,2022-01-01,Unguided-Bank,51,63,0.8095238095238095
Nooksack winter gamefish 2021-22,2022-01-01,Unguided-Boat,12,63,0.19047619047619047
Nooksack winter gamefish 2021-22,2022-02-01,Guided-Bank,0,191,0
Nooksack winter gamefish 2021-22,2022-02-01,Guided-Boat,0,191,0
Nooksack winter gamefish 2021-22,2022-02-01,Unguided-Bank,157,191,0.8219895287958116
Nooksack winter gamefish 2021-22,2022-02-01,Unguided-Boat,34,191,0.17801047120418848
Nooksack winter gamefish 2022-23,2022-12-01,Guided-Bank,0,87,0
Nooksack winter gamefish 2022-23,2022-12-01,Guided-Boat,0,87,0
Nooksack winter gamefish 2022-23,2022-12-01,Unguided-Bank,77,87,0.8850574712643678
Nooksack winter gamefish 2022-23,2022-12-01,Unguided-Boat,10,87,0.11494252873563218
Nooksack winter gamefish 2022-23,2023-01-01,Guided-Bank,0,24,0
Nooksack winter gamefish 2022-23,2023-01-01,Guided-Boat,0,24,0
Nooksack winter gamefish 2022-23,2023-01-01,Unguided-Bank,23,24,0.9583333333333334
Nooksack winter gamefish 2022-23,2023-01-01,Unguided-Boat,1,24,0.041666666666666664
Nooksack winter gamefish 2022-23,2023-02-01,Guided-Bank,2,182,0.01098901098901099
Nooksack winter gamefish 2022-23,2023-02-01,Guided-Boat,1,182,0.005494505494505495
Nooksack winter gamefish 2022-23,2023-02-01,Unguided-Bank,148,182,0.8131868131868132
Nooksack winter gamefish 2022-23,2023-02-01,Unguided-Boat,31,182,0.17032967032967034
Post Quillayute winter steelhead 2023-24,2024-01-01,Guided-Bank,2,20,0.1
Post Quillayute winter steelhead 2023-24,2024-01-01,Guided-Boat,7,20,0.35
Post Quillayute winter steelhead 2023-24,2024-01-01,Unguided-Bank,9,20,0.45
Post Quillayute winter steelhead 2023-24,2024-01-01,Unguided-Boat,2,20,0.1
Post Quillayute winter steelhead 2023-24,2024-02-01,Guided-Bank,22,136,0.16176470588235295
Post Quillayute winter steelhead 2023-24,2024-02-01,Guided-Boat,53,136,0.3897058823529412
Post Quillayute winter steelhead 2023-24,2024-02-01,Unguided-Bank,26,136,0.19117647058823528
Post Quillayute winter steelhead 2023-24,2024-02-01,Unguided-Boat,35,136,0.25735294117647056
Post Quillayute winter steelhead 2023-24,2024-03-01,Guided-Bank,21,183,0.11475409836065574
Post Quillayute winter steelhead 2023-24,2024-03-01,Guided-Boat,58,183,0.31693989071038253
Post Quillayute winter steelhead 2023-24,2024-03-01,Unguided-Bank,43,183,0.23497267759562843
Post Quillayute winter steelhead 2023-24,2024-03-01,Unguided-Boat,61,183,0.3333333333333333
Pre Quillayute winter steelhead 2023-24,2023-12-01,Guided-Bank,2,28,0.07142857142857142
Pre Quillayute winter steelhead 2023-24,2023-12-01,Guided-Boat,3,28,0.10714285714285714
Pre Quillayute winter steelhead 2023-24,2023-12-01,Unguided-Bank,20,28,0.7142857142857143
Pre Quillayute winter steelhead 2023-24,2023-12-01,Unguided-Boat,3,28,0.10714285714285714
Pre Quillayute winter steelhead 2023-24,2024-01-01,Guided-Bank,13,97,0.13402061855670103
Pre Quillayute winter steelhead 2023-24,2024-01-01,Guided-Boat,37,97,0.38144329896907214
Pre Quillayute winter steelhead 2023-24,2024-01-01,Unguided-Bank,25,97,0.25773195876288657
Pre Quillayute winter steelhead 2023-24,2024-01-01,Unguided-Boat,22,97,0.2268041237113402
Puyallup Carbon salmon 2024,2024-09-01,Guided-Bank,0,1,0
Puyallup Carbon salmon 2024,2024-09-01,Guided-Boat,0,1,0
Puyallup Carbon salmon 2024,2024-09-01,Unguided-Bank,0,1,0
Puyallup Carbon salmon 2024,2024-09-01,Unguided-Boat,1,1,1
Queets winter steelhead 2024-25,2025-01-01,Guided-Bank,1,21,0.047619047619047616
Queets winter steelhead 2024-25,2025-01-01,Guided-Boat,0,21,0
Queets winter steelhead 2024-25,2025-01-01,Unguided-Bank,16,21,0.7619047619047619
Queets winter steelhead 2024-25,2025-01-01,Unguided-Boat,4,21,0.19047619047619047
Queets winter steelhead 2024-25,2025-02-01,Guided-Bank,1,38,0.02631578947368421
Queets winter steelhead 2024-25,2025-02-01,Guided-Boat,5,38,0.13157894736842105
