fishery_name,combined_type,hours,total_hours,prop
Quillayute spring chinook 2025,Guided-Boat,739.9166666666666,1587.2166666666667,0.46617244022555204
Quillayute spring chinook 2025,Unguided-Bank,286.76666666666665,1587.2166666666667,0.18067266598763032
Quillayute spring chinook 2025,Unguided-Boat,542.6333333333333,1587.2166666666667,0.3418772904350383
Quillayute spring chinook 2026,Guided-Bank,26.3,1382.5166666666667,0.019023278803148847
Quillayute spring chinook 2026,Guided-Boat,478.48333333333335,1382.5166666666667,0.3460958879338405
Quillayute spring chinook 2026,Unguided-Bank,258.85,1382.5166666666667,0.1872310159009536
Quillayute spring chinook 2026,Unguided-Boat,618.8833333333333,1382.5166666666667,0.4476498173620571
Quillayute winter steelhead 2022-23,Guided-Bank,715.2,3107.65,0.23014174697922868
Quillayute winter steelhead 2022-23,Guided-Boat,916.7166666666667,3107.65,0.2949871017220944
Quillayute winter steelhead 2022-23,Unguided-Bank,869.8833333333333,3107.65,0.2799167645434117
Quillayute winter steelhead 2022-23,Unguided-Boat,605.85,3107.65,0.19495438675526525
Quillayute winter steelhead 2024-25,Guided-Bank,997.65,7500.8499999999995,0.1330049261083744
Quillayute winter steelhead 2024-25,Guided-Boat,2490.883333333333,7500.8499999999995,0.3320801420283479
Quillayute winter steelhead 2024-25,Unguided-Bank,2268.1666666666665,7500.8499999999995,0.3023879515877089
Quillayute winter steelhead 2024-25,Unguided-Boat,1744.15,7500.8499999999995,0.23252698027556878
Quillayute winter steelhead 2025-26,Guided-Bank,1082.75,10758.4,0.10064228881618084
Quillayute winter steelhead 2025-26,Guided-Boat,2889.1833333333334,10758.4,0.2685513954987111
Quillayute winter steelhead 2025-26,Unguided-Bank,3817.3,10758.4,0.35482041939321834
Quillayute winter steelhead 2025-26,Unguided-Boat,2969.1666666666665,10758.4,0.27598589629188974
Quinault winter steelhead 2024-25,Guided-Bank,5.5,417.93333333333334,0.013159993619397034
Quinault winter steelhead 2024-25,Guided-Boat,122.86666666666667,417.93333333333334,0.293986281703621
Quinault winter steelhead 2024-25,Unguided-Bank,184.33333333333334,417.93333333333334,0.44105918009251877
Quinault winter steelhead 2024-25,Unguided-Boat,105.23333333333333,417.93333333333334,0.2517945445844632
Quinault winter steelhead 2025-26,Guided-Bank,0,204.8,0
Quinault winter steelhead 2025-26,Guided-Boat,0,204.8,0
Quinault winter steelhead 2025-26,Unguided-Bank,134.3,204.8,0.65576171875
Quinault winter steelhead 2025-26,Unguided-Boat,70.5,204.8,0.34423828125
Satsop salmon 2022,Guided-Bank,0,2944.7166666666667,0
Satsop salmon 2022,Guided-Boat,93.33333333333334,2944.7166666666667,0.03169518289818489
Satsop salmon 2022,Unguided-Bank,1454.7833333333333,2944.7166666666667,0.49403168386319
Satsop salmon 2022,Unguided-Boat,1396.6,2944.7166666666667,0.4742731332386251
Satsop salmon 2023,Guided-Bank,0,2936.4333333333334,0
Satsop salmon 2023,Guided-Boat,157.71666666666667,2936.4333333333334,0.053710283450444415
Satsop salmon 2023,Unguided-Bank,1440.9833333333333,2936.4333333333334,0.490725710328857
Satsop salmon 2023,Unguided-Boat,1337.7333333333333,2936.4333333333334,0.4555640062206986
Satsop salmon 2024,Guided-Bank,0,4372.066666666667,0
Satsop salmon 2024,Guided-Boat,236.53333333333333,4372.066666666667,0.054101035360851465
Satsop salmon 2024,Unguided-Bank,2367.016666666667,4372.066666666667,0.5413953736600541
Satsop salmon 2024,Unguided-Boat,1768.5166666666667,4372.066666666667,0.40450359097909455
Satsop salmon 2025,Guided-Bank,0,3038.25,0
Satsop salmon 2025,Guided-Boat,352.23333333333335,3038.25,0.11593296579719686
Satsop salmon 2025,Unguided-Bank,1291.0666666666666,3038.25,0.4249376011410077
Satsop salmon 2025,Unguided-Boat,1394.95,3038.25,0.45912943306179543
Satsop winter steelhead 2024-25,Guided-Bank,0,3115.5166666666664,0
Satsop winter steelhead 2024-25,Guided-Boat,264.6,3115.5166666666664,0.08492973343105212
Satsop winter steelhead 2024-25,Unguided-Bank,943.1166666666667,3115.5166666666664,0.30271597541338785
Satsop winter steelhead 2024-25,Unguided-Boat,1907.8,3115.5166666666664,0.6123542911555601
Satsop winter steelhead 2025-26,Guided-Bank,0,1350.6666666666667,0
Satsop winter steelhead 2025-26,Guided-Boat,270.8333333333333,1350.6666666666667,0.20051826258637706
Satsop winter steelhead 2025-26,Unguided-Bank,304.35,1350.6666666666667,0.22533316880552814
Satsop winter steelhead 2025-26,Unguided-Boat,775.4833333333333,1350.6666666666667,0.5741485686080947
Skagit fall salmon 2021,Guided-Bank,0,5834.05,0
Skagit fall salmon 2021,Guided-Boat,234.85,5834.05,0.04025505437903343
