fishery_name,guided_status,n,total,prop
Humptulips salmon 2023,Guided,73,868,0.08410138248847926
Humptulips salmon 2023,Unguided,795,868,0.9158986175115207
Humptulips salmon 2024,Guided,67,901,0.07436182019977802
Humptulips salmon 2024,Unguided,834,901,0.925638179800222
Humptulips salmon 2025,Guided,42,910,0.046153846153846156
Humptulips salmon 2025,Unguided,868,910,0.9538461538461539
Humptulips winter steelhead 2024-25,Guided,14,365,0.038356164383561646
Humptulips winter steelhead 2024-25,Unguided,351,365,0.9616438356164384
Humptulips winter steelhead 2025-26,Guided,17,535,0.03177570093457944
Humptulips winter steelhead 2025-26,Unguided,518,535,0.9682242990654205
Lower Chehalis salmon 2023,Guided,9,743,0.012113055181695828
Lower Chehalis salmon 2023,Unguided,734,743,0.9878869448183042
Lower Cowlitz salmon and steelhead 2022-23,Guided,119,309,0.3851132686084142
Lower Cowlitz salmon and steelhead 2022-23,Unguided,190,309,0.6148867313915858
Lower Cowlitz salmon and steelhead 2023-24,Guided,263,1816,0.1448237885462555
Lower Cowlitz salmon and steelhead 2023-24,Unguided,1553,1816,0.8551762114537445
Naselle winter steelhead 2022,Guided,2,166,0.012048192771084338
Naselle winter steelhead 2022,Unguided,164,166,0.9879518072289156
Naselle winter steelhead 2022-23,Unguided,201,201,1
Naselle winter steelhead 2023-24,Guided,5,311,0.01607717041800643
Naselle winter steelhead 2023-24,Unguided,306,311,0.9839228295819936
Nooksack fall salmon 2023,Unguided,27,27,1
Nooksack fall salmon 2024,Unguided,58,58,1
Nooksack spring Chinook 2022,Unguided,162,162,1
Nooksack spring Chinook 2026,Guided,2,236,0.00847457627118644
Nooksack spring Chinook 2026,Unguided,234,236,0.9915254237288136
Nooksack winter gamefish 2021-22,Unguided,254,254,1
Nooksack winter gamefish 2022-23,Guided,3,293,0.010238907849829351
Nooksack winter gamefish 2022-23,Unguided,290,293,0.9897610921501706
Post Quillayute winter steelhead 2023-24,Guided,163,339,0.4808259587020649
Post Quillayute winter steelhead 2023-24,Unguided,176,339,0.5191740412979351
Pre Quillayute winter steelhead 2023-24,Guided,55,125,0.44
Pre Quillayute winter steelhead 2023-24,Unguided,70,125,0.56
Puyallup Carbon salmon 2024,Unguided,1,1,1
Queets winter steelhead 2024-25,Guided,7,59,0.11864406779661017
Queets winter steelhead 2024-25,Unguided,52,59,0.8813559322033898
Queets winter steelhead 2025-26,Guided,5,40,0.125
Queets winter steelhead 2025-26,Unguided,35,40,0.875
Quillayute fall salmon 2022,Guided,51,379,0.1345646437994723
Quillayute fall salmon 2022,Unguided,328,379,0.8654353562005277
Quillayute fall salmon 2023,Guided,31,317,0.09779179810725552
Quillayute fall salmon 2023,Unguided,286,317,0.9022082018927445
Quillayute fall salmon 2024,Guided,102,662,0.1540785498489426
Quillayute fall salmon 2024,Unguided,560,662,0.8459214501510574
Quillayute fall salmon 2025,Guided,68,606,0.11221122112211221
Quillayute fall salmon 2025,Unguided,538,606,0.8877887788778878
Quillayute spring chinook 2025,Guided,51,140,0.36428571428571427
Quillayute spring chinook 2025,Unguided,89,140,0.6357142857142857
Quillayute spring chinook 2026,Guided,29,133,0.21804511278195488
Quillayute spring chinook 2026,Unguided,104,133,0.7819548872180451
Quillayute winter steelhead 2022-23,Guided,112,248,0.45161290322580644
Quillayute winter steelhead 2022-23,Unguided,136,248,0.5483870967741935
Quillayute winter steelhead 2024-25,Guided,266,751,0.35419440745672437
Quillayute winter steelhead 2024-25,Unguided,485,751,0.6458055925432756
Quillayute winter steelhead 2025-26,Guided,286,1074,0.26629422718808193
Quillayute winter steelhead 2025-26,Unguided,788,1074,0.7337057728119181
Quinault winter steelhead 2024-25,Guided,10,46,0.21739130434782608
Quinault winter steelhead 2024-25,Unguided,36,46,0.782608695652174
Quinault winter steelhead 2025-26,Unguided,20,20,1
Satsop salmon 2022,Guided,5,327,0.01529051987767584
Satsop salmon 2022,Unguided,322,327,0.9847094801223242
Satsop salmon 2023,Guided,8,367,0.021798365122615803
Satsop salmon 2023,Unguided,359,367,0.9782016348773842
Satsop salmon 2024,Guided,9,475,0.018947368421052633
Satsop salmon 2024,Unguided,466,475,0.9810526315789474
Satsop salmon 2025,Guided,19,330,0.05757575757575758
Satsop salmon 2025,Unguided,311,330,0.9424242424242424
Satsop winter steelhead 2024-25,Guided,11,342,0.03216374269005848
Satsop winter steelhead 2024-25,Unguided,331,342,0.9678362573099415
Satsop winter steelhead 2025-26,Guided,11,161,0.06832298136645963
