fishery_name,month,combined_type,hours,total_hours,prop
Chehalis salmon 2022,2022-11-01,Unguided-Boat,502.7,717.3666666666667,0.7007573997490822
Chehalis salmon 2022,2022-12-01,Guided-Bank,0,75.48333333333333,0
Chehalis salmon 2022,2022-12-01,Guided-Boat,0,75.48333333333333,0
Chehalis salmon 2022,2022-12-01,Unguided-Bank,75.48333333333333,75.48333333333333,1
Chehalis salmon 2022,2022-12-01,Unguided-Boat,0,75.48333333333333,0
Chehalis salmon 2024,2024-09-01,Guided-Bank,0,4137.15,0
Chehalis salmon 2024,2024-09-01,Guided-Boat,194.05,4137.15,0.046904269847600405
Chehalis salmon 2024,2024-09-01,Unguided-Bank,389.93333333333334,4137.15,0.09425167889328001
Chehalis salmon 2024,2024-09-01,Unguided-Boat,3553.1666666666665,4137.15,0.8588440512591197
Chehalis salmon 2024,2024-10-01,Guided-Bank,0,4713.45,0
Chehalis salmon 2024,2024-10-01,Guided-Boat,710.55,4713.45,0.15074945103904783
Chehalis salmon 2024,2024-10-01,Unguided-Bank,621.1833333333333,4713.45,0.13178952430456106
Chehalis salmon 2024,2024-10-01,Unguided-Boat,3381.7166666666667,4713.45,0.7174610246563912
Chehalis salmon 2024,2024-11-01,Guided-Bank,0,2202.15,0
Chehalis salmon 2024,2024-11-01,Guided-Boat,209.95,2202.15,0.0953386463229117
Chehalis salmon 2024,2024-11-01,Unguided-Bank,519.95,2202.15,0.23611016506595828
Chehalis salmon 2024,2024-11-01,Unguided-Boat,1472.25,2202.15,0.66855118861113
Chehalis salmon 2024,2024-12-01,Guided-Bank,0,455.73333333333335,0
Chehalis salmon 2024,2024-12-01,Guided-Boat,47.18333333333334,455.73333333333335,0.1035327677004096
Chehalis salmon 2024,2024-12-01,Unguided-Bank,10.866666666666667,455.73333333333335,0.023844353423054417
Chehalis salmon 2024,2024-12-01,Unguided-Boat,397.68333333333334,455.73333333333335,0.872622878876536
Chehalis salmon 2025,2025-09-01,Guided-Bank,0,4071.5666666666666,0
Chehalis salmon 2025,2025-09-01,Guided-Boat,118.68333333333332,4071.5666666666666,0.02914930370782745
Chehalis salmon 2025,2025-09-01,Unguided-Bank,236.66666666666666,4071.5666666666666,0.05812668342243362
Chehalis salmon 2025,2025-09-01,Unguided-Boat,3716.2166666666667,4071.5666666666666,0.9127240128697389
Chehalis salmon 2025,2025-10-01,Guided-Bank,12.5,5273.933333333333,0.002370147517981519
Chehalis salmon 2025,2025-10-01,Guided-Boat,1066.65,5273.933333333333,0.20224942800439902
Chehalis salmon 2025,2025-10-01,Unguided-Bank,609.2333333333333,5273.933333333333,0.11551782982972861
Chehalis salmon 2025,2025-10-01,Unguided-Boat,3585.55,5273.933333333333,0.6798625946478909
Chehalis salmon 2025,2025-11-01,Guided-Bank,0,2384.2,0
Chehalis salmon 2025,2025-11-01,Guided-Boat,462.96666666666664,2384.2,0.19418113692922853
Chehalis salmon 2025,2025-11-01,Unguided-Bank,247.31666666666666,2384.2,0.10373151022005984
Chehalis salmon 2025,2025-11-01,Unguided-Boat,1673.9166666666667,2384.2,0.7020873528507117
Chehalis salmon 2025,2025-12-01,Guided-Bank,0,170.98333333333335,0
Chehalis salmon 2025,2025-12-01,Guided-Boat,13.950000000000001,170.98333333333335,0.08158689930792475
Chehalis salmon 2025,2025-12-01,Unguided-Bank,25.983333333333334,170.98333333333335,0.151964129057413
Chehalis salmon 2025,2025-12-01,Unguided-Boat,131.05,170.98333333333335,0.7664489716346623
Chehalis winter steelhead 2024-25,2024-11-01,Guided-Bank,0,2041.4,0
Chehalis winter steelhead 2024-25,2024-11-01,Guided-Boat,209.95,2041.4,0.10284608601939844
Chehalis winter steelhead 2024-25,2024-11-01,Unguided-Bank,519.95,2041.4,0.25470265504065837
Chehalis winter steelhead 2024-25,2024-11-01,Unguided-Boat,1311.5,2041.4,0.6424512589399431
Chehalis winter steelhead 2024-25,2024-12-01,Guided-Bank,0,455.73333333333335,0
Chehalis winter steelhead 2024-25,2024-12-01,Guided-Boat,47.18333333333334,455.73333333333335,0.1035327677004096
Chehalis winter steelhead 2024-25,2024-12-01,Unguided-Bank,10.866666666666667,455.73333333333335,0.023844353423054417
Chehalis winter steelhead 2024-25,2024-12-01,Unguided-Boat,397.68333333333334,455.73333333333335,0.872622878876536
Chehalis winter steelhead 2024-25,2025-01-01,Guided-Bank,0,250.66666666666666,0
Chehalis winter steelhead 2024-25,2025-01-01,Guided-Boat,0,250.66666666666666,0
Chehalis winter steelhead 2024-25,2025-01-01,Unguided-Bank,37.416666666666664,250.66666666666666,0.14926861702127658
Chehalis winter steelhead 2024-25,2025-01-01,Unguided-Boat,213.25,250.66666666666666,0.8507313829787234
Chehalis winter steelhead 2024-25,2025-02-01,Guided-Bank,0,186.75,0
Chehalis winter steelhead 2024-25,2025-02-01,Guided-Boat,0,186.75,0
Chehalis winter steelhead 2024-25,2025-02-01,Unguided-Bank,28.416666666666664,186.75,0.15216421240517625
Chehalis winter steelhead 2024-25,2025-02-01,Unguided-Boat,158.33333333333334,186.75,0.8478357875948238
