fishery_name,angler_final,hours,total_hours,prop
Skagit spring Chinook 2024 upper,Boat,685.35,2630.2,0.2605695384381416
Skagit spring Chinook 2025 lower,Bank,506.23333333333335,928.1166666666667,0.5454414854454361
Skagit spring Chinook 2025 lower,Boat,421.8833333333333,928.1166666666667,0.45455851455456386
Skagit spring Chinook 2025 upper,Bank,2513.05,3360.4333333333334,0.747835100631863
Skagit spring Chinook 2025 upper,Boat,847.3833333333333,3360.4333333333334,0.252164899368137
Skagit spring Chinook 2026 lower,Bank,639.3833333333333,1527,0.41871862038856145
Skagit spring Chinook 2026 lower,Boat,887.6166666666667,1527,0.5812813796114386
Skagit spring Chinook 2026 upper,Bank,1301.7,2557.4833333333336,0.508976923929123
Skagit spring Chinook 2026 upper,Boat,1255.7833333333333,2557.4833333333336,0.4910230760708769
Skagit spring gamefish 2025,Bank,1,9.733333333333333,0.10273972602739727
Skagit spring gamefish 2025,Boat,8.733333333333333,9.733333333333333,0.8972602739726028
Skagit summer gamefish 2022,Bank,179.21666666666667,374.1,0.47906085716831504
Skagit summer gamefish 2022,Boat,194.88333333333333,374.1,0.5209391428316849
Skagit summer gamefish 2024,Bank,66.31666666666666,183.33333333333331,0.36172727272727273
Skagit summer gamefish 2024,Boat,117.01666666666667,183.33333333333331,0.6382727272727273
Skagit summer sockeye 2022,Bank,2200.8333333333335,3048.166666666667,0.722018699764886
Skagit summer sockeye 2022,Boat,847.3333333333334,3048.166666666667,0.27798130023511397
Skagit summer sockeye 2023,Bank,980.7,1521.35,0.6446248397804583
Skagit summer sockeye 2023,Boat,540.65,1521.35,0.35537516021954185
Skagit summer sockeye 2024,Bank,2312.4166666666665,4045.05,0.5716657808102907
Skagit summer sockeye 2024,Boat,1732.6333333333334,4045.05,0.42833421918970926
Skagit summer sockeye 2025,Bank,2030.3,4311.35,0.4709197815069525
Skagit summer sockeye 2025,Boat,2281.05,4311.35,0.5290802184930474
Skagit summer sockeye 2026,Bank,1543.3333333333333,3730.1833333333334,0.4137419519147852
Skagit summer sockeye 2026,Boat,2186.85,3730.1833333333334,0.5862580480852148
Skagit winter gamefish 2021-22,Bank,677.9166666666666,1181.8333333333333,0.5736144408405021
Skagit winter gamefish 2021-22,Boat,503.9166666666667,1181.8333333333333,0.426385559159498
Skagit winter gamefish 2022-23,Bank,1169.85,1962.1833333333334,0.5961981126466266
Skagit winter gamefish 2022-23,Boat,792.3333333333334,1962.1833333333334,0.40380188735337336
Skagit winter gamefish 2024,Bank,274.85,412.58333333333337,0.6661684508180166
Skagit winter gamefish 2024,Boat,137.73333333333332,412.58333333333337,0.3338315491819834
Skagit winter gamefish 2025,Bank,428.95,725.5333333333333,0.5912202517688138
Skagit winter gamefish 2025,Boat,296.5833333333333,725.5333333333333,0.40877974823118624
Skagit winter steelhead 2021,Bank,4184.233333333334,17158.016666666666,0.24386462693337713
Skagit winter steelhead 2021,Boat,12973.783333333333,17158.016666666666,0.7561353730666228
Skagit winter steelhead 2023,Bank,3678.25,8015.75,0.45887783426379314
Skagit winter steelhead 2023,Boat,4337.5,8015.75,0.5411221657362069
Skagit winter steelhead 2024,Bank,5659.366666666667,14023.983333333334,0.40354915804948427
Skagit winter steelhead 2024,Boat,8364.616666666667,14023.983333333334,0.5964508419505157
Skagit winter steelhead 2025,Bank,5057.933333333333,11322.1,0.44673102457435754
Skagit winter steelhead 2025,Boat,6264.166666666667,11322.1,0.5532689754256425
Skookumchuck winter steelhead 2024-25,Bank,2248.0833333333335,2258.75,0.9952776240546025
Skookumchuck winter steelhead 2024-25,Boat,10.666666666666666,2258.75,0.004722375945397528
Skookumchuck winter steelhead 2025-26,Bank,1199.1333333333334,1199.1333333333334,1
Skykomish summer Chinook 2020,Bank,680.0666666666667,5045.016666666666,0.13479968681966695
Skykomish summer Chinook 2020,Boat,4364.95,5045.016666666666,0.8652003131803331
Skykomish summer Chinook 2021,Bank,800.3833333333333,5210.333333333333,0.15361461198899623
Skykomish summer Chinook 2021,Boat,4409.95,5210.333333333333,0.8463853880110038
Skykomish summer Chinook 2023,Bank,278.25,1495.05,0.18611417678338518
Skykomish summer Chinook 2023,Boat,1216.8,1495.05,0.8138858232166148
Skykomish summer Chinook and gamefish 2022,Bank,2620.75,6551.65,0.4000137369975503
Skykomish summer Chinook and gamefish 2022,Boat,3930.9,6551.65,0.5999862630024498
Skykomish summer Chinook and gamefish 2025,Bank,910.7666666666667,2147.7166666666667,0.42406276433111134
Skykomish summer Chinook and gamefish 2025,Boat,1236.95,2147.7166666666667,0.5759372356688887
Skykomish summer gamefish 2023,Bank,1149.95,1149.95,1
Skykomish summer steelhead 2024,Bank,897.6166666666667,897.6166666666667,1
Skykomish winter gamefish 2021-22,Bank,1548.8666666666666,1573.8666666666666,0.9841155540494747
Skykomish winter gamefish 2021-22,Boat,25,1573.8666666666666,0.015884445950525246
Skykomish winter gamefish 2022-23,Bank,1089.85,1420.9333333333332,0.7669958712583279
Skykomish winter gamefish 2022-23,Boat,331.0833333333333,1420.9333333333332,0.23300412874167215
