fishery_name,total_interviews,Guided-Bank_n,Guided-Boat_n,Unguided-Bank_n,Unguided-Boat_n,Guided-Bank_prop,Guided-Boat_prop,Unguided-Bank_prop,Unguided-Boat_prop,hrs_Guided-Bank,hrs_Guided-Boat,hrs_Unguided-Bank,hrs_Unguided-Boat
Skagit fall salmon 2022,1673,2,49,700,922,0.001195457262402869,0.029288702928870293,0.41841004184100417,0.5511057979677226,0.00341534314125226,0.09308009267476051,0.18255176979052243,0.7209527943934648
Skagit fall salmon 2023,2677,5,43,1687,942,0.0018677624206200972,0.016062756817332834,0.6301830407172208,0.3518864400448263,0.00397715664619785,0.056659304060226894,0.418089075973618,0.5212744633199573
Skagit fall salmon 2024,1779,4,29,1065,681,0.0022484541877459247,0.016301292861157952,0.5986509274873525,0.3827993254637437,0.003456639375010441,0.0612611873768876,0.3394887636439297,0.5957934096041723
Skagit fall salmon 2025,2633,10,61,1863,699,0.0037979491074819596,0.023167489555639954,0.7075579187238891,0.265476642612989,0.013830903433810339,0.06932159165658651,0.49731964786426297,0.4195278570453402
Skagit spring Chinook 2021 lower,121,0,0,87,34,0,0,0.71900826446281,0.2809917355371901,0,0,0.5483499110730519,0.45165008892694813
Skagit spring Chinook 2022 lower,336,0,0,281,55,0,0,0.8363095238095238,0.1636904761904762,0,0,0.6845230494189759,0.31547695058102415
Skagit spring Chinook 2022 upper,110,0,10,84,16,0,0.09090909090909091,0.7636363636363637,0.14545454545454545,0,0.3794344473007712,0.33134104541559556,0.28922450728363325
Skagit spring Chinook 2023 lower,180,0,0,127,53,0,0,0.7055555555555556,0.29444444444444445,0,0,0.5322405314468122,0.4677594685531878
Skagit spring Chinook 2023 upper,127,1,9,87,30,0.007874015748031496,0.07086614173228346,0.6850393700787402,0.23622047244094488,0.0024071845199518565,0.2411350800851773,0.3749807116625004,0.3814770237323705
Skagit spring Chinook 2024 lower,330,0,0,226,104,0,0,0.6848484848484848,0.3151515151515151,0,0,0.5266957674164281,0.47330423258357196
Skagit spring Chinook 2024 upper,365,0,8,329,28,0,0.021917808219178082,0.9013698630136986,0.07671232876712329,0,0.1031163894274926,0.7381748137565058,0.15870879681600164
Skagit spring Chinook 2025 lower,163,1,0,110,52,0.006134969325153374,0,0.6748466257668712,0.31901840490797545,0.004848528381848546,0,0.5405929570635876,0.45455851455456386
Skagit spring Chinook 2025 upper,413,1,10,367,35,0.002421307506053269,0.024213075060532687,0.8886198547215496,0.0847457627118644,0.009946284013819888,0.08517892719340278,0.7410183340478652,0.16385645474491214
Skagit spring Chinook 2026 lower,242,0,1,135,106,0,0.004132231404958678,0.5578512396694215,0.4380165289256198,0,0.015018554900676708,0.41871862038856145,0.5662628247107618
Skagit spring Chinook 2026 upper,289,1,14,217,57,0.0034602076124567475,0.04844290657439446,0.7508650519031141,0.1972318339100346,2.606729271614673e-5,0.14124562558244105,0.5089508566364068,0.34977745048843584
Skagit spring gamefish 2025,2,0,0,1,1,0,0,0.5,0.5,0,0,0.10273972602739727,0.8972602739726028
Skagit summer gamefish 2022,77,0,2,60,15,0,0.025974025974025976,0.7792207792207793,0.19480519480519481,0,0.09759309718437782,0.48832879200726614,0.41407811080835605
Skagit summer gamefish 2024,41,0,0,29,12,0,0,0.7073170731707317,0.2926829268292683,0,0,0.3396971691902567,0.6603028308097433
Skagit summer sockeye 2022,521,0,0,443,78,0,0,0.8502879078694817,0.14971209213051823,0,0,0.7247923819180769,0.275207618081923
Skagit summer sockeye 2023,216,0,5,176,35,0,0.023148148148148147,0.8148148148148148,0.16203703703703703,0,0.10575037521499546,0.6446248397804583,0.2496247850045464
Skagit summer sockeye 2024,709,0,5,550,154,0,0.007052186177715092,0.7757404795486601,0.21720733427362482,0,0.034057091555969345,0.5694400571913082,0.3965028512527224
Skagit summer sockeye 2025,607,0,2,394,211,0,0.0032948929159802307,0.6490939044481054,0.34761120263591433,0,0.012164889692247029,0.469515551616845,0.5183195586909078
Skagit summer sockeye 2026,483,0,8,289,186,0,0.016563146997929608,0.598343685300207,0.38509316770186336,0,0.07595247776025307,0.4137419519147852,0.5103055703249617
Skagit winter gamefish 2021-22,141,3,2,101,35,0.02127659574468085,0.014184397163120567,0.7163120567375887,0.24822695035460993,0.05672006321384958,0.026018245815674166,0.5148193376912579,0.40244235327921846
Skagit winter gamefish 2022-23,248,2,2,185,59,0.008064516129032258,0.008064516129032258,0.7459677419354839,0.23790322580645162,0.009694169004237469,0.016165474434506808,0.5849753169575486,0.3891650396037072
Skagit winter gamefish 2024,70,0,1,58,11,0,0.014285714285714285,0.8285714285714286,0.15714285714285714,0,0.03222787385554425,0.6637232960325534,0.3040488301119023
Skagit winter gamefish 2025,94,1,0,71,22,0.010638297872340425,0,0.7553191489361702,0.23404255319148937,0.02286084501827942,0,0.5653894210745523,0.4117497339071683
Skagit winter steelhead 2021,1860,5,128,904,823,0.002688172043010753,0.06881720430107527,0.4860215053763441,0.44247311827956987,0.0024760048995561843,0.09294586301252768,0.24138862203382092,0.6631895100540952
Skagit winter steelhead 2023,725,10,22,476,217,0.013793103448275862,0.030344827586206897,0.6565517241379311,0.29931034482758623,0.016874225368851765,0.05601113771031766,0.4430635494660351,0.48405108745479547
Skagit winter steelhead 2024,1223,21,74,751,377,0.017170891251022075,0.06050695012264922,0.6140637775960752,0.3082583810302535,0.033952124476361464,0.11657570317175343,0.3701903052064632,0.4792818671454219
Skagit winter steelhead 2025,1165,24,82,716,343,0.020600858369098713,0.0703862660944206,0.6145922746781116,0.2944206008583691,0.031728777011446586,0.09824013696215916,0.4139447264089049,0.45608635961748933
Skookumchuck winter steelhead 2024-25,476,0,0,475,1,0,0,0.9978991596638656,0.0021008403361344537,0,0,0.9951981152602397,0.004801884739760356
Skookumchuck winter steelhead 2025-26,241,0,0,241,0,0,0,1,0,0,0,1,0
Skykomish summer Chinook 2020,61,0,35,8,18,0,0.5737704918032787,0.13114754098360656,0.29508196721311475,0,0.7995781414788485,0.02545473484108694,0.1749671236800646
Skykomish summer Chinook 2021,148,0,47,17,84,0,0.31756756756756754,0.11486486486486487,0.5675675675675675,0,0.5169178384513525,0.018620341761775648,0.46446181978687184
Skykomish summer Chinook and gamefish 2022,724,1,65,458,200,0.0013812154696132596,0.08977900552486189,0.6325966850828729,0.27624309392265195,9.725511733543862e-4,0.2548570349775169,0.39458689458689455,0.34958351926223413
Skykomish summer Chinook and gamefish 2025,250,0,12,183,55,0,0.048,0.732,0.22,0,0.1810819474299506,0.43516423426481127,0.38375381830523814
Skykomish winter gamefish 2021-22,248,0,0,247,1,0,0,0.9959677419354839,0.004032258064516129,0,0,0.9904347826086956,0.009565217391304347
Skykomish winter gamefish 2022-23,1,0,0,1,0,0,0,1,0,0,0,1,0
Snohomish fall salmon 2021,618,0,5,295,318,0,0.008090614886731391,0.4773462783171521,0.5145631067961165,0,0.022772764360562657,0.29144982321465135,0.6857774124247861
Snohomish fall salmon 2023,13,0,13,0,0,0,1,0,0,0,1,0,0
Snohomish fall salmon 2024,5,0,5,0,0,0,1,0,0,0,1,0,0
Snohomish fall salmon 2025,1272,1,11,854,406,7.861635220125787e-4,0.008647798742138365,0.6713836477987422,0.3191823899371069,5.150238396611935e-5,0.022932426891375528,0.45952407835493464,0.5174919923697238
South Fork Willapa winter steelhead 2022-23,12,0,0,12,0,0,0,1,0,0,0,1,0
South Fork Willapa winter steelhead 2023-24,17,0,0,17,0,0,0,1,0,0,0,1,0
Stillaguamish salmon and gamefish 2024-25,1,1,0,0,0,1,0,0,0,1,0,0,0
Stillaguamish salmon and gamefish 2025-26,645,0,0,632,13,0,0,0.9798449612403101,0.020155038759689922,0,0,0.9633501489090136,0.03664985109098645
Upper Chehalis salmon 2023,242,0,33,29,180,0,0.13636363636363635,0.11983471074380166,0.743801652892562,0,0.29151304850719295,0.04204920600496397,0.6664377454878431
Willapa winter steelhead 2022,285,5,0,278,2,0.017543859649122806,0,0.9754385964912281,0.007017543859649123,0.022416524851827945,0,0.9575611759873247,0.02002229916084737
Willapa winter steelhead 2022-23,289,0,0,287,2,0,0,0.9930795847750865,0.006920415224913495,0,0,0.9853256944778778,0.014674305522122188
Willapa winter steelhead 2023-24,534,1,0,514,19,0.0018726591760299626,0,0.9625468164794008,0.035580524344569285,0.0023896785696597496,0,0.8911891436778763,0.10642117775246397
Wynoochee winter steelhead 2024-25,545,1,53,284,207,0.001834862385321101,0.09724770642201835,0.5211009174311927,0.3798165137614679,0.004494019301345657,0.1856876670744416,0.22776210864935886,0.5820562049748539
Wynoochee winter steelhead 2025-26,427,1,56,202,168,0.00234192037470726,0.13114754098360656,0.47306791569086654,0.39344262295081966,0.005286952683558518,0.24821739793649814,0.25036268690140434,0.49613296247853894
