fishery_name,n_total,n_guided,n_unguided,n_guide_unknown,n_bank,n_boat,n_type_unknown,n_guided_bank,n_guided_boat,n_unguided_bank,n_unguided_boat,n_combined_unknown,pct_classifiable,mean_hours,median_hours,total_hours,year_min,year_max,n_years,years_span,guide_ratio,type_ratio
Chehalis salmon 2025,1361,78,1277,6,339,1022,0,1,77,338,939,6,99.6,8.82,6.97,11990.5,2025,2025,1,2025-2025 (1 yrs),78:1277,339:1022
Snohomish fall salmon 2025,1331,12,1260,59,901,430,0,1,11,854,406,59,95.6,6.56,4.2,8736.4,2025,2025,1,2025-2025 (1 yrs),12:1260,901:430
Lower Cowlitz salmon and steelhead 2022-23,1284,119,190,975,996,288,0,0,119,26,164,975,24.1,8.31,4.57,10622.2,2022,2023,2,2022-2023 (2 yrs),119:190,996:288
Skagit winter steelhead 2024,1232,95,1128,9,777,455,0,21,74,751,377,9,99.3,11.39,8,14024,2024,2024,1,2024-2024 (1 yrs),95:1128,777:455
Skagit winter steelhead 2025,1174,106,1059,9,747,427,0,24,82,716,343,9,99.2,9.67,6.83,11322.1,2025,2025,1,2025-2025 (1 yrs),106:1059,747:427
Quillayute winter steelhead 2025-26,1074,286,788,0,655,419,0,72,214,583,205,0,100,10.02,8.14,10758.4,2025,2026,2,2025-2026 (2 yrs),286:788,655:419
Drano Lake salmon and steelhead 2024,1024,120,890,14,160,864,0,1,119,155,735,14,98.6,13.34,10.47,13588.5,2024,2024,1,2024-2024 (1 yrs),120:890,160:864
Drano Lake salmon and steelhead 2023,997,118,861,18,103,894,0,0,118,101,760,18,98.2,13.76,11.24,13709.6,2023,2023,1,2023-2023 (1 yrs),118:861,103:894
Drano Lake salmon and steelhead 2025,983,122,844,17,265,718,0,0,122,249,595,17,98.3,12.2,9.5,11990.7,2025,2025,1,2025-2025 (1 yrs),122:844,265:718
Skagit fall salmon 2021,966,11,880,75,608,358,0,0,11,558,322,75,92.2,6.53,4.15,6278.6,2021,2021,1,2021-2021 (1 yrs),11:880,608:358
Drano Lake salmon and steelhead 2022,931,0,0,931,277,654,0,0,0,0,0,931,0,11.55,9.18,10704.6,2022,2022,1,2022-2022 (1 yrs),0:0,277:654
Humptulips salmon 2025,910,42,868,0,693,217,0,2,40,691,177,0,100,8.11,4.95,7359.5,2025,2025,1,2025-2025 (1 yrs),42:868,693:217
Humptulips salmon 2024,903,67,834,2,649,254,0,3,64,644,190,2,99.8,8.85,6.01,7968.7,2024,2024,1,2024-2024 (1 yrs),67:834,649:254
Chehalis salmon 2022,892,90,793,9,94,798,0,0,90,94,699,9,99,10.19,8.77,9040.2,2022,2022,1,2022-2022 (1 yrs),90:793,94:798
Humptulips salmon 2023,871,73,795,3,569,302,0,4,69,563,232,3,99.7,10.08,7.3,8759.6,2023,2023,1,2023-2023 (1 yrs),73:795,569:302
Snohomish fall salmon 2021,862,5,613,244,408,454,0,0,5,295,318,244,71.7,8.78,6.75,7541,2021,2021,1,2021-2021 (1 yrs),5:613,408:454
Humptulips salmon 2020,845,153,692,0,442,403,0,0,153,442,250,0,100,13.1,11.6,11068,2020,2020,1,2020-2020 (1 yrs),153:692,442:403
Drano Lake spring Chinook 2026,833,145,688,0,174,659,0,0,145,174,514,0,100,19.29,13.33,16068.1,2026,2026,1,2026-2026 (1 yrs),145:688,174:659
Skykomish summer Chinook and gamefish 2022,819,66,658,95,527,292,0,1,65,458,200,95,88.4,8,5,6551.6,2022,2022,1,2022-2022 (1 yrs),66:658,527:292
Stillaguamish salmon and gamefish 2025-26,791,0,645,146,773,18,0,0,0,632,13,146,81.5,4.34,3.1,3436.4,2025,2025,1,2025-2025 (1 yrs),0:645,773:18
Hoh winter steelhead 2025-26,771,249,522,0,461,310,0,66,183,395,127,0,100,9.78,8.3,7529,2025,2026,2,2025-2026 (2 yrs),249:522,461:310
Stillaguamish salmon and gamefish 2024-25,762,1,0,761,752,10,0,1,0,0,0,761,0.1,3.93,2.5,2994.2,2024,2024,1,2024-2024 (1 yrs),1:0,752:10
Hoh winter steelhead 2023-24,759,220,536,3,544,215,0,105,115,436,100,3,99.6,11.4,10,8640.3,2023,2024,2,2023-2024 (2 yrs),220:536,544:215
Quillayute winter steelhead 2024-25,751,266,485,0,425,326,0,75,191,350,135,0,100,9.99,8.67,7500.9,2024,2025,2,2024-2025 (2 yrs),266:485,425:326
Lower Chehalis salmon 2023,750,9,734,7,230,520,0,0,9,227,507,7,99.1,7.93,5.93,5939.2,2023,2023,1,2023-2023 (1 yrs),9:734,230:520
