fishery_name,month,angler_final,hours,total_hours,prop
Hoh winter steelhead 2023-24,2024-02-01,Boat,1438.7833333333333,3812.1,0.37742539107928263
Hoh winter steelhead 2023-24,2024-03-01,Bank,2151.0333333333333,3760.95,0.5719388275125522
Hoh winter steelhead 2023-24,2024-03-01,Boat,1609.9166666666667,3760.95,0.4280611724874478
Hoh winter steelhead 2024-25,2024-12-01,Bank,48.43333333333333,62.93333333333333,0.7695974576271186
Hoh winter steelhead 2024-25,2024-12-01,Boat,14.5,62.93333333333333,0.23040254237288138
Hoh winter steelhead 2024-25,2025-01-01,Bank,621.2833333333333,1614.1999999999998,0.3848862181472763
Hoh winter steelhead 2024-25,2025-01-01,Boat,992.9166666666666,1614.1999999999998,0.6151137818527238
Hoh winter steelhead 2024-25,2025-02-01,Bank,973.1333333333333,2045.3833333333332,0.4757706379407283
Hoh winter steelhead 2024-25,2025-02-01,Boat,1072.25,2045.3833333333332,0.5242293620592717
Hoh winter steelhead 2024-25,2025-03-01,Bank,1113.3166666666666,1829.3166666666666,0.6085970171011034
Hoh winter steelhead 2024-25,2025-03-01,Boat,716,1829.3166666666666,0.3914029828988967
Hoh winter steelhead 2025-26,2025-12-01,Bank,144.01666666666668,160.01666666666668,0.9000104155817102
Hoh winter steelhead 2025-26,2025-12-01,Boat,16,160.01666666666668,0.09998958441828976
Hoh winter steelhead 2025-26,2026-01-01,Bank,594.1333333333333,969.9333333333334,0.6125506907691249
Hoh winter steelhead 2025-26,2026-01-01,Boat,375.8,969.9333333333334,0.38744930923087495
Hoh winter steelhead 2025-26,2026-02-01,Bank,1519.3666666666666,2819.2166666666662,0.5389322093016382
Hoh winter steelhead 2025-26,2026-02-01,Boat,1299.85,2819.2166666666662,0.4610677906983619
Hoh winter steelhead 2025-26,2026-03-01,Bank,1469.3,3579.833333333333,0.4104381023325108
Hoh winter steelhead 2025-26,2026-03-01,Boat,2110.5333333333333,3579.833333333333,0.5895618976674892
Humptulips salmon 2020,2020-09-01,Bank,1507.9666666666667,6287.950000000001,0.2398184888026569
Humptulips salmon 2020,2020-09-01,Boat,4779.983333333334,6287.950000000001,0.760181511197343
Humptulips salmon 2020,2020-10-01,Bank,1476.3666666666666,3377.366666666667,0.4371354408266795
Humptulips salmon 2020,2020-10-01,Boat,1901,3377.366666666667,0.5628645591733205
Humptulips salmon 2020,2020-11-01,Bank,617.1333333333333,1402.7166666666667,0.43995580005465584
Humptulips salmon 2020,2020-11-01,Boat,785.5833333333334,1402.7166666666667,0.5600441999453442
Humptulips salmon 2021,2021-09-01,Bank,946.2,4079.0166666666664,0.23196767194707876
Humptulips salmon 2021,2021-09-01,Boat,3132.8166666666666,4079.0166666666664,0.7680323280529213
Humptulips salmon 2021,2021-10-01,Bank,817.8666666666667,2564.633333333333,0.3189019872886313
Humptulips salmon 2021,2021-10-01,Boat,1746.7666666666667,2564.633333333333,0.6810980127113688
Humptulips salmon 2021,2021-11-01,Bank,336.3666666666667,975.9166666666666,0.34466740671163865
Humptulips salmon 2021,2021-11-01,Boat,639.55,975.9166666666666,0.6553325932883614
Humptulips salmon 2022,2022-09-01,Bank,1111.9833333333333,3133.333333333333,0.35488829787234044
Humptulips salmon 2022,2022-09-01,Boat,2021.35,3133.333333333333,0.6451117021276596
Humptulips salmon 2022,2022-10-01,Bank,447.46666666666664,1231.1333333333332,0.3634591433367629
Humptulips salmon 2022,2022-10-01,Boat,783.6666666666666,1231.1333333333332,0.6365408566632371
Humptulips salmon 2022,2022-11-01,Bank,806.85,2082.1,0.38751741030690173
Humptulips salmon 2022,2022-11-01,Boat,1275.25,2082.1,0.6124825896930983
Humptulips salmon 2022,2022-12-01,Bank,597.1,597.1,1
Humptulips salmon 2023,2023-09-01,Bank,1123.8666666666666,3130.833333333333,0.3589672611125898
Humptulips salmon 2023,2023-09-01,Boat,2006.9666666666667,3130.833333333333,0.6410327388874102
Humptulips salmon 2023,2023-10-01,Bank,1539.05,3979.833333333333,0.38671217387662804
Humptulips salmon 2023,2023-10-01,Boat,2440.7833333333333,3979.833333333333,0.6132878261233721
Humptulips salmon 2023,2023-11-01,Bank,707.8,1648.9833333333333,0.4292341745924256
Humptulips salmon 2023,2023-11-01,Boat,941.1833333333334,1648.9833333333333,0.5707658254075744
Humptulips salmon 2024,2024-09-01,Bank,1204.3333333333333,3092.7666666666664,0.38940323119536985
Humptulips salmon 2024,2024-09-01,Boat,1888.4333333333334,3092.7666666666664,0.6105967688046302
Humptulips salmon 2024,2024-10-01,Bank,1243.15,2985.883333333333,0.4163424558896586
Humptulips salmon 2024,2024-10-01,Boat,1742.7333333333333,2985.883333333333,0.5836575441103414
Humptulips salmon 2024,2024-11-01,Bank,738,1160.5666666666666,0.6358962575753224
Humptulips salmon 2024,2024-11-01,Boat,422.56666666666666,1160.5666666666666,0.36410374242467763
Humptulips salmon 2024,2024-12-01,Bank,483.6333333333333,729.5166666666667,0.6629503552580476
Humptulips salmon 2024,2024-12-01,Boat,245.88333333333333,729.5166666666667,0.3370496447419524
Humptulips salmon 2025,2025-09-01,Bank,571.2,1584.8666666666668,0.3604088672022883
Humptulips salmon 2025,2025-09-01,Boat,1013.6666666666666,1584.8666666666668,0.6395911327977116
Humptulips salmon 2025,2025-10-01,Bank,1530.45,2969.05,0.5154679106111383
Humptulips salmon 2025,2025-10-01,Boat,1438.6,2969.05,0.4845320893888617
Humptulips salmon 2025,2025-11-01,Bank,968.5333333333333,1914.0666666666666,0.5060081501863397
Humptulips salmon 2025,2025-11-01,Boat,945.5333333333333,1914.0666666666666,0.4939918498136603
Humptulips salmon 2025,2025-12-01,Bank,826.25,891.55,0.9267567719140822
Humptulips salmon 2025,2025-12-01,Boat,65.3,891.55,0.07324322808591778
Humptulips winter steelhead 2024-25,2024-11-01,Bank,736.0666666666667,1158.6333333333334,0.6352887022066227
