region,stream_code,n_years,years_present,mean_harvest,usable,fail_reason
Columbia - Upper,690,6,2019|2020|2021|2022|2023|2024,461.1666666666667,TRUE,NA
Puget Sound,710,6,2019|2020|2021|2022|2023|2024,24.166666666666668,TRUE,NA
Puget Sound,714,6,2019|2020|2021|2022|2023|2024,45,TRUE,NA
Puget Sound,718,4,2021|2022|2023|2024,29,TRUE,NA
Puget Sound,724,4,2019|2020|2021|2024,40.5,TRUE,NA
Puget Sound,726,5,2020|2021|2022|2023|2024,35.2,TRUE,NA
Puget Sound,728,6,2019|2020|2021|2022|2023|2024,25.833333333333332,TRUE,NA
Puget Sound,732,5,2019|2021|2022|2023|2024,22,TRUE,NA
Puget Sound,734,2,2021|2022,11,FALSE,only 2 of 6 history year(s) present (2021|2022); need 3
Puget Sound,736,6,2019|2020|2021|2022|2023|2024,123.5,TRUE,NA
Puget Sound,738,6,2019|2020|2021|2022|2023|2024,1015.5,TRUE,NA
Puget Sound,746,6,2019|2020|2021|2022|2023|2024,19690.833333333332,TRUE,NA
Puget Sound,754,6,2019|2020|2021|2022|2023|2024,187,TRUE,NA
Puget Sound,762,6,2019|2020|2021|2022|2023|2024,483.8333333333333,TRUE,NA
Puget Sound,764,6,2019|2020|2021|2022|2023|2024,198.83333333333334,TRUE,NA
Puget Sound,766,3,2022|2023|2024,41.333333333333336,TRUE,NA
Puget Sound,768,3,2022|2023|2024,21,TRUE,NA
Puget Sound,770,4,2019|2020|2021|2022,34.75,TRUE,NA
Puget Sound,774,2,2021|2022,17,FALSE,only 2 of 6 history year(s) present (2021|2022); need 3
Puget Sound,778,6,2019|2020|2021|2022|2023|2024,4936.5,TRUE,NA
Puget Sound,782,1,2019,0,FALSE,only 1 of 6 history year(s) present (2019); need 3
Puget Sound,786,6,2019|2020|2021|2022|2023|2024,4747.333333333333,TRUE,NA
Puget Sound,788,6,2019|2020|2021|2022|2023|2024,480.1666666666667,TRUE,NA
Puget Sound,790,5,2020|2021|2022|2023|2024,505.4,TRUE,NA
Puget Sound,792,5,2020|2021|2022|2023|2024,992.6,TRUE,NA
Puget Sound,794,5,2020|2021|2022|2023|2024,2620.8,TRUE,NA
Puget Sound,802,6,2019|2020|2021|2022|2023|2024,2118,TRUE,NA
Puget Sound,804,6,2019|2020|2021|2022|2023|2024,26540.833333333332,TRUE,NA
Puget Sound,808,2,2021|2022,20.5,FALSE,only 2 of 6 history year(s) present (2021|2022); need 3
Puget Sound,810,4,2020|2021|2022|2023,16.75,TRUE,NA
Puget Sound,812,6,2019|2020|2021|2022|2023|2024,3491,TRUE,NA
Puget Sound,814,3,2021|2022|2024,96,TRUE,NA
Puget Sound,816,6,2019|2020|2021|2022|2023|2024,9631.833333333334,TRUE,NA
Puget Sound,818,4,2020|2021|2022|2024,40.25,TRUE,NA
Puget Sound,824,6,2019|2020|2021|2022|2023|2024,72.66666666666667,TRUE,NA
Puget Sound,825,6,2019|2020|2021|2022|2023|2024,6959,TRUE,NA
Puget Sound,826,6,2019|2020|2021|2022|2023|2024,2522.1666666666665,TRUE,NA
Puget Sound,828,2,2023|2024,44,FALSE,only 2 of 6 history year(s) present (2023|2024); need 3
Puget Sound,830,6,2019|2020|2021|2022|2023|2024,18812.166666666668,TRUE,NA
Puget Sound,832,5,2019|2020|2021|2023|2024,13.8,TRUE,NA
Puget Sound,834,5,2019|2021|2022|2023|2024,79.2,TRUE,NA
Puget Sound,840,4,2021|2022|2023|2024,131,TRUE,NA
Puget Sound,844,6,2019|2020|2021|2022|2023|2024,1421.1666666666667,TRUE,NA
Puget Sound,850,6,2019|2020|2021|2022|2023|2024,11524.666666666666,TRUE,NA
Puget Sound,852,6,2019|2020|2021|2022|2023|2024,106.66666666666667,TRUE,NA
Puget Sound,854,5,2019|2020|2021|2022|2024,10.4,TRUE,NA
Puget Sound,858,3,2019|2023|2024,32,TRUE,NA
Puget Sound,860,6,2019|2020|2021|2022|2023|2024,869.5,TRUE,NA
Puget Sound,866,3,2022|2023|2024,52.333333333333336,TRUE,NA
Puget Sound,872,6,2019|2020|2021|2022|2023|2024,798.1666666666666,TRUE,NA
Puget Sound,878,1,2019,0,FALSE,only 1 of 6 history year(s) present (2019); need 3
Puget Sound,884,6,2019|2020|2021|2022|2023|2024,110.5,TRUE,NA
Unknown,192,6,2019|2020|2021|2022|2023|2024,2749.5,TRUE,NA
