fishery_name,guided_status,hours,total_hours,prop
Skagit spring Chinook 2022 upper,Unguided,490.6666666666667,785.8666666666667,0.6243637597556838
Skagit spring Chinook 2023 lower,Unguided,965.9166666666666,965.9166666666666,1
Skagit spring Chinook 2023 upper,Guided,263.05,1080.1,0.24354226460512918
Skagit spring Chinook 2023 upper,Unguided,817.05,1080.1,0.7564577353948708
Skagit spring Chinook 2024 lower,Unguided,1798.35,1798.35,1
Skagit spring Chinook 2024 upper,Guided,269.45,2613.0666666666666,0.1031163894274926
Skagit spring Chinook 2024 upper,Unguided,2343.616666666667,2613.0666666666666,0.8968836105725074
Skagit spring Chinook 2025 lower,Guided,4.5,928.1166666666667,0.004848528381848546
Skagit spring Chinook 2025 lower,Unguided,923.6166666666667,928.1166666666667,0.9951514716181514
Skagit spring Chinook 2025 upper,Guided,314.33333333333337,3304.416666666667,0.09512521120722266
Skagit spring Chinook 2025 upper,Unguided,2990.0833333333335,3304.416666666667,0.9048747887927773
Skagit spring Chinook 2026 lower,Guided,22.933333333333334,1527,0.015018554900676708
Skagit spring Chinook 2026 lower,Unguided,1504.0666666666666,1527,0.9849814450993233
Skagit spring Chinook 2026 upper,Guided,361.3,2557.4833333333336,0.1412716928751572
Skagit spring Chinook 2026 upper,Unguided,2196.1833333333334,2557.4833333333336,0.8587283071248427
Skagit spring gamefish 2025,Unguided,9.733333333333333,9.733333333333333,1
Skagit summer gamefish 2022,Guided,35.81666666666666,375.75,0.09532047017076956
Skagit summer gamefish 2022,Unguided,339.93333333333334,375.75,0.9046795298292304
Skagit summer gamefish 2024,Unguided,177.21666666666667,177.21666666666667,1
Skagit summer sockeye 2022,Unguided,3024.383333333333,3024.383333333333,1
Skagit summer sockeye 2023,Guided,160.88333333333333,1521.35,0.10575037521499546
Skagit summer sockeye 2023,Unguided,1360.4666666666667,1521.35,0.8942496247850046
Skagit summer sockeye 2024,Guided,136.56666666666666,4009.9333333333334,0.034057091555969345
Skagit summer sockeye 2024,Unguided,3873.366666666667,4009.9333333333334,0.9659429084440306
Skagit summer sockeye 2025,Guided,51.93333333333333,4269.116666666667,0.012164889692247029
Skagit summer sockeye 2025,Unguided,4217.183333333333,4269.116666666667,0.987835110307753
Skagit summer sockeye 2026,Guided,283.31666666666666,3730.1833333333334,0.07595247776025307
Skagit summer sockeye 2026,Unguided,3446.866666666667,3730.1833333333334,0.924047522239747
Skagit winter gamefish 2021-22,Guided,95.98333333333333,1160.0833333333333,0.08273830902952374
Skagit winter gamefish 2021-22,Unguided,1064.1,1160.0833333333333,0.9172616909704763
Skagit winter gamefish 2022-23,Guided,50.55,1954.7833333333333,0.025859643438744275
Skagit winter gamefish 2022-23,Unguided,1904.2333333333333,1954.7833333333333,0.9741403565612557
Skagit winter gamefish 2024,Guided,13.2,409.5833333333333,0.03222787385554425
Skagit winter gamefish 2024,Unguided,396.3833333333333,409.5833333333333,0.9677721261444557
Skagit winter gamefish 2025,Guided,16.466666666666665,720.3000000000001,0.022860845018279417
Skagit winter gamefish 2025,Unguided,703.8333333333334,720.3000000000001,0.9771391549817205
Skagit winter steelhead 2021,Guided,1637.25,17158.016666666666,0.09542186791208386
Skagit winter steelhead 2021,Unguided,15520.766666666666,17158.016666666666,0.9045781320879162
Skagit winter steelhead 2023,Guided,572.3833333333333,7853.25,0.07288489903330893
Skagit winter steelhead 2023,Unguided,7280.866666666667,7853.25,0.9271151009666911
Skagit winter steelhead 2024,Guided,2096.1,13925,0.1505278276481149
Skagit winter steelhead 2024,Unguided,11828.9,13925,0.8494721723518851
Skagit winter steelhead 2025,Guided,1462.6333333333334,11253.716666666667,0.12996891397360577
Skagit winter steelhead 2025,Unguided,9791.083333333334,11253.716666666667,0.8700310860263942
Skookumchuck winter steelhead 2024-25,Unguided,2221.35,2221.35,1
Skookumchuck winter steelhead 2025-26,Unguided,1199.1333333333334,1199.1333333333334,1
Skykomish summer Chinook 2020,Guided,1023.5,1280.05,0.7995781414788485
Skykomish summer Chinook 2020,Unguided,256.55,1280.05,0.20042185852115155
Skykomish summer Chinook 2021,Guided,1366.3,2643.1666666666665,0.5169178384513525
Skykomish summer Chinook 2021,Unguided,1276.8666666666666,2643.1666666666665,0.48308216154864747
Skykomish summer Chinook and gamefish 2022,Guided,1490.6166666666666,5826.6,0.25582958615087126
Skykomish summer Chinook and gamefish 2022,Unguided,4335.983333333334,5826.6,0.7441704138491287
Skykomish summer Chinook and gamefish 2025,Guided,320.1166666666667,1767.8000000000002,0.1810819474299506
Skykomish summer Chinook and gamefish 2025,Unguided,1447.6833333333334,1767.8000000000002,0.8189180525700493
Skykomish winter gamefish 2021-22,Unguided,1111.6666666666667,1111.6666666666667,1
Skykomish winter gamefish 2022-23,Unguided,1.95,1.95,1
