fishery_name,angler_final,n,total,prop
Humptulips salmon 2022,Bank,461,680,0.6779411764705883
Humptulips salmon 2022,Boat,219,680,0.3220588235294118
Humptulips salmon 2023,Bank,569,871,0.653272101033295
Humptulips salmon 2023,Boat,302,871,0.3467278989667049
Humptulips salmon 2024,Bank,649,903,0.7187153931339978
Humptulips salmon 2024,Boat,254,903,0.2812846068660022
Humptulips salmon 2025,Bank,693,910,0.7615384615384615
Humptulips salmon 2025,Boat,217,910,0.23846153846153847
Humptulips winter steelhead 2024-25,Bank,308,365,0.8438356164383561
Humptulips winter steelhead 2024-25,Boat,57,365,0.15616438356164383
Humptulips winter steelhead 2025-26,Bank,455,535,0.8504672897196262
Humptulips winter steelhead 2025-26,Boat,80,535,0.14953271028037382
Lower Chehalis salmon 2023,Bank,230,750,0.30666666666666664
Lower Chehalis salmon 2023,Boat,520,750,0.6933333333333334
Lower Cowlitz salmon and steelhead 2022-23,Bank,996,1284,0.7757009345794392
Lower Cowlitz salmon and steelhead 2022-23,Boat,288,1284,0.22429906542056074
Lower Cowlitz salmon and steelhead 2023-24,Bank,1409,1882,0.7486716259298618
Lower Cowlitz salmon and steelhead 2023-24,Boat,473,1882,0.25132837407013814
Naselle winter steelhead 2022,Bank,162,166,0.9759036144578314
Naselle winter steelhead 2022,Boat,4,166,0.024096385542168676
Naselle winter steelhead 2022-23,Bank,203,203,1
Naselle winter steelhead 2023-24,Bank,285,324,0.8796296296296297
Naselle winter steelhead 2023-24,Boat,39,324,0.12037037037037036
Nisqually salmon 2021,Bank,3449,3497,0.9862739490992279
Nisqually salmon 2021,Boat,48,3497,0.01372605090077209
Nisqually salmon 2022,Bank,2304,2370,0.9721518987341772
Nisqually salmon 2022,Boat,66,2370,0.027848101265822784
Nisqually salmon 2023,Bank,2082,2139,0.9733520336605891
Nisqually salmon 2023,Boat,57,2139,0.02664796633941094
Nooksack fall salmon 2023,Bank,23,27,0.8518518518518519
Nooksack fall salmon 2023,Boat,4,27,0.14814814814814814
Nooksack fall salmon 2024,Bank,55,58,0.9482758620689655
Nooksack fall salmon 2024,Boat,3,58,0.05172413793103448
Nooksack spring Chinook 2022,Bank,161,165,0.9757575757575757
Nooksack spring Chinook 2022,Boat,4,165,0.024242424242424242
Nooksack spring Chinook 2026,Bank,212,236,0.8983050847457628
Nooksack spring Chinook 2026,Boat,24,236,0.1016949152542373
Nooksack winter gamefish 2021-22,Bank,212,258,0.8217054263565892
Nooksack winter gamefish 2021-22,Boat,46,258,0.17829457364341086
Nooksack winter gamefish 2022-23,Bank,250,294,0.8503401360544217
Nooksack winter gamefish 2022-23,Boat,44,294,0.14965986394557823
North Fork Skykomish summer gamefish 2025,Bank,20,20,1
Post Quillayute winter steelhead 2023-24,Bank,124,340,0.36470588235294116
Post Quillayute winter steelhead 2023-24,Boat,216,340,0.6352941176470588
Pre Quillayute winter steelhead 2023-24,Bank,60,125,0.48
Pre Quillayute winter steelhead 2023-24,Boat,65,125,0.52
Puyallup Carbon salmon 2024,Bank,2150,2151,0.99953509995351
Puyallup Carbon salmon 2024,Boat,1,2151,4.6490004649000463e-4
Puyallup Carbon salmon 2025,Bank,2413,2413,1
Puyallup_Carbon salmon 2022,Bank,2068,2068,1
Puyallup_Carbon salmon 2023,Bank,2800,2800,1
Queets winter steelhead 2024-25,Bank,38,59,0.6440677966101694
Queets winter steelhead 2024-25,Boat,21,59,0.3559322033898305
Queets winter steelhead 2025-26,Bank,30,40,0.75
Queets winter steelhead 2025-26,Boat,10,40,0.25
Quillayute fall salmon 2022,Bank,232,379,0.6121372031662269
Quillayute fall salmon 2022,Boat,147,379,0.38786279683377306
Quillayute fall salmon 2023,Bank,220,317,0.694006309148265
Quillayute fall salmon 2023,Boat,97,317,0.305993690851735
Quillayute fall salmon 2024,Bank,426,662,0.6435045317220544
Quillayute fall salmon 2024,Boat,236,662,0.3564954682779456
Quillayute fall salmon 2025,Bank,404,606,0.6666666666666666
Quillayute fall salmon 2025,Boat,202,606,0.3333333333333333
Quillayute spring chinook 2025,Bank,58,140,0.4142857142857143
Quillayute spring chinook 2025,Boat,82,140,0.5857142857142857
Quillayute spring chinook 2026,Bank,70,133,0.5263157894736842
Quillayute spring chinook 2026,Boat,63,133,0.47368421052631576
Quillayute winter steelhead 2022-23,Bank,145,248,0.5846774193548387
Quillayute winter steelhead 2022-23,Boat,103,248,0.4153225806451613
Quillayute winter steelhead 2024-25,Bank,425,751,0.5659121171770972
Quillayute winter steelhead 2024-25,Boat,326,751,0.4340878828229028
Quillayute winter steelhead 2025-26,Bank,655,1074,0.6098696461824954
Quillayute winter steelhead 2025-26,Boat,419,1074,0.39013035381750466
Quinault winter steelhead 2024-25,Bank,28,46,0.6086956521739131
Quinault winter steelhead 2024-25,Boat,18,46,0.391304347826087
Quinault winter steelhead 2025-26,Bank,16,20,0.8
Quinault winter steelhead 2025-26,Boat,4,20,0.2
Satsop salmon 2022,Bank,230,328,0.7012195121951219
Satsop salmon 2022,Boat,98,328,0.29878048780487804
Satsop salmon 2023,Bank,264,370,0.7135135135135136
Satsop salmon 2023,Boat,106,370,0.2864864864864865
Satsop salmon 2024,Bank,346,486,0.7119341563786008
Satsop salmon 2024,Boat,140,486,0.2880658436213992
Satsop salmon 2025,Bank,210,330,0.6363636363636364
Satsop salmon 2025,Boat,120,330,0.36363636363636365
Satsop winter steelhead 2024-25,Bank,189,355,0.53239436619718306
Satsop winter steelhead 2024-25,Boat,166,355,0.4676056338028169
Satsop winter steelhead 2025-26,Bank,88,161,0.546583850931677
Satsop winter steelhead 2025-26,Boat,73,161,0.453416149068323
Silver Lake Winter Crappie 2025-26,Bank,250,335,0.746268656716418
Silver Lake Winter Crappie 2025-26,Boat,85,335,0.2537313432835821
Skagit fall salmon 2021,Bank,608,966,0.62939958592132506
Skagit fall salmon 2021,Boat,358,966,0.37060041407867494
Skagit fall salmon 2022,Bank,707,1694,0.41735537190082644
Skagit fall salmon 2022,Boat,987,1694,0.5826446280991735
Skagit fall salmon 2023,Bank,1740,2730,0.6373626373626373
Skagit fall salmon 2023,Boat,990,2730,0.3626373626373626
Skagit fall salmon 2024,Bank,1091,1811,0.6024295969077857
Skagit fall salmon 2024,Boat,720,1811,0.39757040309221425
Skagit fall salmon 2025,Bank,1908,2673,0.7138047138047138
Skagit fall salmon 2025,Boat,765,2673,0.28619528619528617
Skagit spring Chinook 2021 lower,Bank,87,121,0.71900826446281
Skagit spring Chinook 2021 lower,Boat,34,121,0.2809917355371901
Skagit spring Chinook 2021 upper,Bank,32,87,0.367816091954023
Skagit spring Chinook 2021 upper,Boat,55,87,0.632183908045977
Skagit spring Chinook 2022 lower,Bank,285,341,0.8357771260997068
Skagit spring Chinook 2022 lower,Boat,56,341,0.16422287390029325
Skagit spring Chinook 2022 upper,Bank,85,111,0.7657657657657657
Skagit spring Chinook 2022 upper,Boat,26,111,0.23423423423423423
Skagit spring Chinook 2023 lower,Bank,127,180,0.7055555555555556
Skagit spring Chinook 2023 lower,Boat,53,180,0.29444444444444445
Skagit spring Chinook 2023 upper,Bank,89,128,0.6953125
Skagit spring Chinook 2023 upper,Boat,39,128,0.3046875
Skagit spring Chinook 2024 lower,Bank,228,332,0.6867469879518072
Skagit spring Chinook 2024 lower,Boat,104,332,0.3132530120481928
Skagit spring Chinook 2024 upper,Bank,334,371,0.9002695417789758
Skagit spring Chinook 2024 upper,Boat,37,371,0.09973045822102426
Skagit spring Chinook 2025 lower,Bank,111,163,0.6809815950920245
Skagit spring Chinook 2025 lower,Boat,52,163,0.31901840490797545
Skagit spring Chinook 2025 upper,Bank,376,423,0.8888888888888888
Skagit spring Chinook 2025 upper,Boat,47,423,0.1111111111111111
Skagit spring Chinook 2026 lower,Bank,135,242,0.5578512396694215
Skagit spring Chinook 2026 lower,Boat,107,242,0.44214876033057854
Skagit spring Chinook 2026 upper,Bank,218,289,0.754325259515571
Skagit spring Chinook 2026 upper,Boat,71,289,0.24567474048442905
Skagit spring gamefish 2025,Bank,1,2,0.5
Skagit spring gamefish 2025,Boat,1,2,0.5
Skagit summer gamefish 2022,Bank,60,78,0.7692307692307693
Skagit summer gamefish 2022,Boat,18,78,0.23076923076923078
Skagit summer gamefish 2024,Bank,34,46,0.7391304347826086
Skagit summer gamefish 2024,Boat,12,46,0.2608695652173913
Skagit summer sockeye 2022,Bank,447,526,0.8498098859315589
Skagit summer sockeye 2022,Boat,79,526,0.15019011406844107
Skagit summer sockeye 2023,Bank,176,216,0.8148148148148148
Skagit summer sockeye 2023,Boat,40,216,0.18518518518518517
Skagit summer sockeye 2024,Bank,562,722,0.778393351800554
Skagit summer sockeye 2024,Boat,160,722,0.22160664819944598
Skagit summer sockeye 2025,Bank,401,616,0.650974025974026
Skagit summer sockeye 2025,Boat,215,616,0.349025974025974
Skagit summer sockeye 2026,Bank,289,483,0.598343685300207
Skagit summer sockeye 2026,Boat,194,483,0.40165631469979296
Skagit winter gamefish 2021-22,Bank,106,144,0.7361111111111112
Skagit winter gamefish 2021-22,Boat,38,144,0.2638888888888889
Skagit winter gamefish 2022-23,Bank,189,250,0.756
Skagit winter gamefish 2022-23,Boat,61,250,0.244
Skagit winter gamefish 2024,Bank,60,72,0.8333333333333334
Skagit winter gamefish 2024,Boat,12,72,0.16666666666666666
Skagit winter gamefish 2025,Bank,73,95,0.7684210526315789
Skagit winter gamefish 2025,Boat,22,95,0.23157894736842105
Skagit winter steelhead 2021,Bank,909,1860,0.48870967741935484
Skagit winter steelhead 2021,Boat,951,1860,0.5112903225806451
Skagit winter steelhead 2023,Bank,500,746,0.6702412868632708
Skagit winter steelhead 2023,Boat,246,746,0.3297587131367292
Skagit winter steelhead 2024,Bank,777,1232,0.6306818181818182
Skagit winter steelhead 2024,Boat,455,1232,0.3693181818181818
Skagit winter steelhead 2025,Bank,747,1174,0.6362862010221465
Skagit winter steelhead 2025,Boat,427,1174,0.3637137989778535
Skookumchuck winter steelhead 2024-25,Bank,480,481,0.997920997920998
Skookumchuck winter steelhead 2024-25,Boat,1,481,0.002079002079002079
Skookumchuck winter steelhead 2025-26,Bank,241,241,1
Skykomish summer Chinook 2020,Bank,152,393,0.38676844783715014
Skykomish summer Chinook 2020,Boat,241,393,0.6132315521628499
Skykomish summer Chinook 2021,Bank,156,412,0.3786407766990291
Skykomish summer Chinook 2021,Boat,256,412,0.6213592233009708
Skykomish summer Chinook 2023,Bank,51,110,0.4636363636363636
Skykomish summer Chinook 2023,Boat,59,110,0.5363636363636364
Skykomish summer Chinook and gamefish 2022,Bank,527,819,0.6434676434676435
Skykomish summer Chinook and gamefish 2022,Boat,292,819,0.35653235653235654
Skykomish summer Chinook and gamefish 2025,Bank,216,297,0.7272727272727273
Skykomish summer Chinook and gamefish 2025,Boat,81,297,0.2727272727272727
Skykomish summer gamefish 2023,Bank,240,240,1
Skykomish summer steelhead 2024,Bank,210,210,1
Skykomish winter gamefish 2021-22,Bank,360,362,0.994475138121547
Skykomish winter gamefish 2021-22,Boat,2,362,0.0055248618784530384
Skykomish winter gamefish 2022-23,Bank,287,313,0.9169329073482428
Skykomish winter gamefish 2022-23,Boat,26,313,0.08306709265175719
Snohomish fall salmon 2021,Bank,408,862,0.4733178654292343
Snohomish fall salmon 2021,Boat,454,862,0.5266821345707656
Snohomish fall salmon 2022,Bank,21,42,0.5
Snohomish fall salmon 2022,Boat,21,42,0.5
Snohomish fall salmon 2023,Bank,1374,2549,0.5390349156531973
Snohomish fall salmon 2023,Boat,1175,2549,0.46096508434680267
Snohomish fall salmon 2024,Bank,835,1513,0.5518836748182419
Snohomish fall salmon 2024,Boat,678,1513,0.4481163251817581
Snohomish fall salmon 2025,Bank,901,1331,0.6769346356123216
Snohomish fall salmon 2025,Boat,430,1331,0.3230653643876784
Snoqualmie summer gamefish 2025,Bank,46,48,0.9583333333333334
Snoqualmie summer gamefish 2025,Boat,2,48,0.041666666666666664
Snoqualmie winter steelhead 2022-23,Bank,371,381,0.973753280839895
Snoqualmie winter steelhead 2022-23,Boat,10,381,0.026246719160104987
South Fork Skykomish summer gamefish 2025,Bank,6,6,1
South Fork Stillaguamish summer gamefish 2024 upper,Bank,158,158,1
South Fork Willapa winter steelhead 2022-23,Bank,12,12,1
South Fork Willapa winter steelhead 2023-24,Bank,17,17,1
Stillaguamish Winter Steelhead 2022-23,Bank,163,166,0.9819277108433735
Stillaguamish Winter Steelhead 2022-23,Boat,3,166,0.018072289156626505
Stillaguamish salmon and gamefish 2022-23,Bank,257,270,0.9518518518518518
Stillaguamish salmon and gamefish 2022-23,Boat,13,270,0.04814814814814815
Stillaguamish salmon and gamefish 2023-24,Bank,279,301,0.9269102990033222
Stillaguamish salmon and gamefish 2023-24,Boat,22,301,0.07308970099667775
Stillaguamish salmon and gamefish 2024-25,Bank,752,762,0.9868766404199475
Stillaguamish salmon and gamefish 2024-25,Boat,10,762,0.013123359580052493
Stillaguamish salmon and gamefish 2025-26,Bank,773,791,0.97724399494311
Stillaguamish salmon and gamefish 2025-26,Boat,18,791,0.022756005056890013
Upper Chehalis salmon 2023,Bank,29,242,0.11983471074380166
Upper Chehalis salmon 2023,Boat,213,242,0.8801652892561983
Wallace salmon and gamefish 2022-23,Bank,514,514,1
Wallace salmon and gamefish 2023-24,Bank,173,173,1
Wallace salmon and gamefish 2024-25,Bank,371,371,1
Willapa winter steelhead 2022,Bank,283,285,0.9929824561403509
Willapa winter steelhead 2022,Boat,2,285,0.007017543859649123
Willapa winter steelhead 2022-23,Bank,289,291,0.993127147766323
Willapa winter steelhead 2022-23,Boat,2,291,0.006872852233676976
Willapa winter steelhead 2023-24,Bank,516,535,0.9644859813084112
Willapa winter steelhead 2023-24,Boat,19,535,0.03551401869158879
Wynoochee winter steelhead 2024-25,Bank,285,547,0.5210237659963437
Wynoochee winter steelhead 2024-25,Boat,262,547,0.4789762340036563
Wynoochee winter steelhead 2025-26,Bank,203,427,0.47540983606557374
Wynoochee winter steelhead 2025-26,Boat,224,427,0.5245901639344263
