fishery_name,week,angler_final,n,total,prop
Cascade fall salmon 2023,2023-09-24,Bank,31,31,1
Cascade fall salmon 2023,2023-10-01,Bank,29,29,1
Cascade fall salmon 2023,2023-10-08,Bank,56,56,1
Cascade fall salmon 2023,2023-10-15,Bank,32,32,1
Cascade fall salmon 2023,2023-10-22,Bank,35,35,1
Cascade fall salmon 2023,2023-10-29,Bank,29,29,1
Cascade fall salmon 2023,2023-11-05,Bank,24,24,1
Cascade fall salmon 2023,2023-11-12,Bank,19,19,1
Cascade fall salmon 2023,2023-11-19,Bank,5,5,1
Cascade fall salmon 2023,2023-11-26,Bank,3,3,1
Cascade fall salmon 2024,2024-09-15,Bank,21,21,1
Cascade fall salmon 2024,2024-09-22,Bank,12,12,1
Cascade fall salmon 2024,2024-09-29,Bank,18,18,1
Cascade fall salmon 2024,2024-10-06,Bank,22,22,1
Cascade fall salmon 2024,2024-10-13,Bank,36,36,1
Cascade fall salmon 2024,2024-10-20,Bank,34,34,1
Cascade fall salmon 2024,2024-10-27,Bank,34,34,1
Cascade fall salmon 2024,2024-11-03,Bank,15,15,1
Cascade fall salmon 2024,2024-11-10,Bank,3,3,1
Cascade fall salmon 2024,2024-11-17,Bank,7,7,1
Cascade fall salmon 2024,2024-11-24,Bank,5,5,1
Cascade spring Chinook 2021,2021-05-30,Bank,18,18,1
Cascade spring Chinook 2021,2021-06-06,Bank,36,36,1
Cascade spring Chinook 2021,2021-06-13,Bank,72,72,1
Cascade spring Chinook 2021,2021-06-20,Bank,23,23,1
Cascade spring Chinook 2021,2021-06-27,Bank,32,32,1
Cascade spring Chinook 2021,2021-07-04,Bank,9,9,1
Cascade spring Chinook 2021,2021-07-11,Bank,12,12,1
Cascade spring Chinook 2022,2022-05-29,Bank,37,37,1
Cascade spring Chinook 2022,2022-06-05,Bank,73,73,1
Cascade spring Chinook 2022,2022-06-12,Bank,43,43,1
Cascade spring Chinook 2022,2022-06-19,Bank,79,79,1
Cascade spring Chinook 2022,2022-06-26,Bank,96,96,1
Cascade spring Chinook 2022,2022-07-03,Bank,46,46,1
Cascade spring Chinook 2022,2022-07-10,Bank,38,38,1
Cascade spring Chinook 2023,2023-05-28,Bank,24,24,1
Cascade spring Chinook 2023,2023-06-04,Bank,26,26,1
Cascade spring Chinook 2023,2023-06-11,Bank,45,45,1
Cascade spring Chinook 2023,2023-06-18,Bank,10,10,1
Cascade spring Chinook 2023,2023-06-25,Bank,27,27,1
Cascade spring Chinook 2023,2023-07-02,Bank,11,11,1
Cascade spring Chinook 2023,2023-07-09,Bank,17,17,1
Cascade spring Chinook 2024,2024-05-26,Bank,30,30,1
Cascade spring Chinook 2024,2024-06-02,Bank,52,52,1
Cascade spring Chinook 2024,2024-06-09,Bank,49,49,1
Cascade spring Chinook 2024,2024-06-16,Bank,1,1,1
Cascade spring Chinook 2024,2024-06-23,Bank,8,8,1
Cascade spring Chinook 2024,2024-06-30,Bank,10,10,1
Cascade spring Chinook 2024,2024-07-07,Bank,5,5,1
Cascade spring Chinook 2024,2024-07-14,Bank,1,1,1
Cascade winter gamefish 2021-22,2021-11-28,Bank,2,2,1
Cascade winter gamefish 2021-22,2021-12-05,Bank,6,6,1
Cascade winter gamefish 2021-22,2021-12-12,Bank,1,1,1
Cascade winter gamefish 2021-22,2021-12-19,Bank,1,1,1
Cascade winter gamefish 2021-22,2021-12-26,Bank,1,1,1
Cascade winter gamefish 2021-22,2022-01-02,Bank,1,1,1
Cascade winter gamefish 2021-22,2022-01-09,Bank,2,2,1
Cascade winter gamefish 2021-22,2022-01-16,Bank,1,1,1
Cascade winter gamefish 2023,2023-01-08,Bank,4,4,1
Cascade winter gamefish 2023,2023-01-15,Bank,3,3,1
Chehalis salmon 2022,2022-09-11,Bank,1,56,0.017857142857142856
Chehalis salmon 2022,2022-09-11,Boat,55,56,0.9821428571428571
Chehalis salmon 2022,2022-09-18,Bank,21,123,0.17073170731707318
Chehalis salmon 2022,2022-09-18,Boat,102,123,0.8292682926829268
Chehalis salmon 2022,2022-09-25,Bank,18,124,0.14516129032258066
Chehalis salmon 2022,2022-09-25,Boat,106,124,0.8548387096774194
Chehalis salmon 2022,2022-10-02,Bank,10,86,0.11627906976744186
Chehalis salmon 2022,2022-10-02,Boat,76,86,0.8837209302325582
Chehalis salmon 2022,2022-10-09,Bank,8,136,0.058823529411764705
Chehalis salmon 2022,2022-10-09,Boat,128,136,0.9411764705882353
Chehalis salmon 2022,2022-10-16,Bank,3,132,0.022727272727272728
Chehalis salmon 2022,2022-10-16,Boat,129,132,0.9772727272727273
Chehalis salmon 2022,2022-10-23,Bank,15,141,0.10638297872340426
Chehalis salmon 2022,2022-10-23,Boat,126,141,0.8936170212765957
Chehalis salmon 2022,2022-10-30,Bank,1,33,0.030303030303030304
Chehalis salmon 2022,2022-10-30,Boat,32,33,0.9696969696969697
Chehalis salmon 2022,2022-11-06,Bank,3,9,0.3333333333333333
Chehalis salmon 2022,2022-11-06,Boat,6,9,0.6666666666666666
Chehalis salmon 2022,2022-11-13,Bank,2,16,0.125
Chehalis salmon 2022,2022-11-13,Boat,14,16,0.875
Chehalis salmon 2022,2022-11-20,Boat,20,20,1
Chehalis salmon 2022,2022-11-27,Boat,4,4,1
Chehalis salmon 2022,2022-12-04,Bank,9,9,1
Chehalis salmon 2022,2022-12-11,Bank,3,3,1
Chehalis salmon 2024,2024-09-15,Bank,40,177,0.22598870056497175
Chehalis salmon 2024,2024-09-15,Boat,137,177,0.7740112994350282
Chehalis salmon 2024,2024-09-22,Bank,48,244,0.19672131147540983
Chehalis salmon 2024,2024-09-22,Boat,196,244,0.8032786885245902
Chehalis salmon 2024,2024-09-29,Bank,23,131,0.17557251908396945
Chehalis salmon 2024,2024-09-29,Boat,108,131,0.8244274809160306
Chehalis salmon 2024,2024-10-06,Bank,45,144,0.3125
Chehalis salmon 2024,2024-10-06,Boat,99,144,0.6875
Chehalis salmon 2024,2024-10-13,Bank,55,130,0.4230769230769231
Chehalis salmon 2024,2024-10-13,Boat,75,130,0.5769230769230769
Chehalis salmon 2024,2024-10-20,Bank,42,95,0.4421052631578947
Chehalis salmon 2024,2024-10-20,Boat,53,95,0.5578947368421052
Chehalis salmon 2024,2024-10-27,Bank,74,121,0.6115702479338843
Chehalis salmon 2024,2024-10-27,Boat,47,121,0.3884297520661157
Chehalis salmon 2024,2024-11-03,Bank,52,147,0.35374149659863946
Chehalis salmon 2024,2024-11-03,Boat,95,147,0.6462585034013606
Chehalis salmon 2024,2024-11-10,Bank,25,56,0.44642857142857145
Chehalis salmon 2024,2024-11-10,Boat,31,56,0.5535714285714286
Chehalis salmon 2024,2024-11-17,Bank,18,22,0.8181818181818182
Chehalis salmon 2024,2024-11-17,Boat,4,22,0.18181818181818182
Chehalis salmon 2024,2024-11-24,Bank,19,41,0.4634146341463415
Chehalis salmon 2024,2024-11-24,Boat,22,41,0.5365853658536586
Chehalis salmon 2024,2024-12-01,Bank,7,25,0.28
Chehalis salmon 2024,2024-12-01,Boat,18,25,0.72
Chehalis salmon 2024,2024-12-08,Bank,4,20,0.2
Chehalis salmon 2024,2024-12-08,Boat,16,20,0.8
Chehalis salmon 2024,2024-12-15,Boat,7,7,1
Chehalis salmon 2024,2024-12-22,Bank,1,1,1
Chehalis salmon 2025,2025-09-14,Bank,26,218,0.11926605504587157
Chehalis salmon 2025,2025-09-14,Boat,192,218,0.8807339449541285
Chehalis salmon 2025,2025-09-21,Bank,30,178,0.16853932584269662
Chehalis salmon 2025,2025-09-21,Boat,148,178,0.8314606741573034
Chehalis salmon 2025,2025-09-28,Bank,48,181,0.26519337016574585
Chehalis salmon 2025,2025-09-28,Boat,133,181,0.7348066298342542
Chehalis salmon 2025,2025-10-05,Bank,31,115,0.26956521739130435
Chehalis salmon 2025,2025-10-05,Boat,84,115,0.7304347826086957
Chehalis salmon 2025,2025-10-12,Bank,48,160,0.3
Chehalis salmon 2025,2025-10-12,Boat,112,160,0.7
Chehalis salmon 2025,2025-10-19,Bank,26,95,0.2736842105263158
Chehalis salmon 2025,2025-10-19,Boat,69,95,0.7263157894736842
Chehalis salmon 2025,2025-10-26,Bank,50,126,0.3968253968253968
Chehalis salmon 2025,2025-10-26,Boat,76,126,0.6031746031746031
Chehalis salmon 2025,2025-11-02,Bank,27,72,0.375
Chehalis salmon 2025,2025-11-02,Boat,45,72,0.625
Chehalis salmon 2025,2025-11-09,Bank,10,36,0.2777777777777778
Chehalis salmon 2025,2025-11-09,Boat,26,36,0.7222222222222222
Chehalis salmon 2025,2025-11-16,Bank,24,104,0.23076923076923078
Chehalis salmon 2025,2025-11-16,Boat,80,104,0.7692307692307693
Chehalis salmon 2025,2025-11-23,Bank,17,58,0.29310344827586204
Chehalis salmon 2025,2025-11-23,Boat,41,58,0.7068965517241379
Chehalis salmon 2025,2025-11-30,Boat,11,11,1
Chehalis salmon 2025,2025-12-07,Bank,1,4,0.25
Chehalis salmon 2025,2025-12-07,Boat,3,4,0.75
Chehalis salmon 2025,2025-12-21,Bank,1,2,0.5
Chehalis salmon 2025,2025-12-21,Boat,1,2,0.5
Chehalis salmon 2025,2025-12-28,Boat,1,1,1
Chehalis winter steelhead 2024-25,2024-10-27,Bank,25,41,0.6097560975609756
Chehalis winter steelhead 2024-25,2024-10-27,Boat,16,41,0.3902439024390244
Chehalis winter steelhead 2024-25,2024-11-03,Bank,52,134,0.3880597014925373
Chehalis winter steelhead 2024-25,2024-11-03,Boat,82,134,0.6119402985074627
Chehalis winter steelhead 2024-25,2024-11-10,Bank,25,50,0.5
Chehalis winter steelhead 2024-25,2024-11-10,Boat,25,50,0.5
Chehalis winter steelhead 2024-25,2024-11-17,Bank,18,22,0.8181818181818182
Chehalis winter steelhead 2024-25,2024-11-17,Boat,4,22,0.18181818181818182
Chehalis winter steelhead 2024-25,2024-11-24,Bank,19,41,0.4634146341463415
Chehalis winter steelhead 2024-25,2024-11-24,Boat,22,41,0.5365853658536586
Chehalis winter steelhead 2024-25,2024-12-01,Bank,7,25,0.28
Chehalis winter steelhead 2024-25,2024-12-01,Boat,18,25,0.72
Chehalis winter steelhead 2024-25,2024-12-08,Bank,4,20,0.2
Chehalis winter steelhead 2024-25,2024-12-08,Boat,16,20,0.8
Chehalis winter steelhead 2024-25,2024-12-15,Boat,7,7,1
Chehalis winter steelhead 2024-25,2024-12-22,Bank,1,1,1
Chehalis winter steelhead 2024-25,2024-12-29,Boat,1,1,1
Chehalis winter steelhead 2024-25,2025-01-05,Bank,2,6,0.3333333333333333
Chehalis winter steelhead 2024-25,2025-01-05,Boat,4,6,0.6666666666666666
Chehalis winter steelhead 2024-25,2025-01-12,Bank,3,10,0.3
Chehalis winter steelhead 2024-25,2025-01-12,Boat,7,10,0.7
Chehalis winter steelhead 2024-25,2025-01-19,Bank,1,9,0.1111111111111111
Chehalis winter steelhead 2024-25,2025-01-19,Boat,8,9,0.8888888888888888
Chehalis winter steelhead 2024-25,2025-01-26,Bank,1,5,0.2
Chehalis winter steelhead 2024-25,2025-01-26,Boat,4,5,0.8
Chehalis winter steelhead 2024-25,2025-02-02,Bank,4,14,0.2857142857142857
Chehalis winter steelhead 2024-25,2025-02-02,Boat,10,14,0.7142857142857143
Chehalis winter steelhead 2024-25,2025-02-09,Boat,2,2,1
Chehalis winter steelhead 2024-25,2025-02-16,Bank,1,4,0.25
Chehalis winter steelhead 2024-25,2025-02-16,Boat,3,4,0.75
Chehalis winter steelhead 2025-26,2025-11-30,Boat,11,11,1
Chehalis winter steelhead 2025-26,2025-12-07,Bank,1,4,0.25
Chehalis winter steelhead 2025-26,2025-12-07,Boat,3,4,0.75
Chehalis winter steelhead 2025-26,2025-12-21,Bank,1,2,0.5
Chehalis winter steelhead 2025-26,2025-12-21,Boat,1,2,0.5
Chehalis winter steelhead 2025-26,2025-12-28,Bank,1,3,0.3333333333333333
Chehalis winter steelhead 2025-26,2025-12-28,Boat,2,3,0.6666666666666666
Chehalis winter steelhead 2025-26,2026-01-04,Bank,2,5,0.4
Chehalis winter steelhead 2025-26,2026-01-04,Boat,3,5,0.6
Chehalis winter steelhead 2025-26,2026-01-11,Bank,1,6,0.16666666666666666
Chehalis winter steelhead 2025-26,2026-01-11,Boat,5,6,0.8333333333333334
Chehalis winter steelhead 2025-26,2026-01-18,Bank,2,9,0.2222222222222222
Chehalis winter steelhead 2025-26,2026-01-18,Boat,7,9,0.7777777777777778
Chehalis winter steelhead 2025-26,2026-01-25,Bank,3,6,0.5
Chehalis winter steelhead 2025-26,2026-01-25,Boat,3,6,0.5
Chehalis winter steelhead 2025-26,2026-02-01,Boat,5,5,1
Chehalis winter steelhead 2025-26,2026-02-08,Boat,3,3,1
Chehalis winter steelhead 2025-26,2026-02-15,Boat,3,3,1
Drano Lake salmon and steelhead 2022,2022-07-31,Bank,9,23,0.391304347826087
Drano Lake salmon and steelhead 2022,2022-07-31,Boat,14,23,0.6086956521739131
Drano Lake salmon and steelhead 2022,2022-08-07,Bank,11,26,0.4230769230769231
Drano Lake salmon and steelhead 2022,2022-08-07,Boat,15,26,0.5769230769230769
Drano Lake salmon and steelhead 2022,2022-08-14,Bank,12,70,0.17142857142857143
Drano Lake salmon and steelhead 2022,2022-08-14,Boat,58,70,0.8285714285714286
Drano Lake salmon and steelhead 2022,2022-08-21,Bank,16,77,0.2077922077922078
Drano Lake salmon and steelhead 2022,2022-08-21,Boat,61,77,0.7922077922077922
Drano Lake salmon and steelhead 2022,2022-08-28,Bank,27,184,0.14673913043478262
Drano Lake salmon and steelhead 2022,2022-08-28,Boat,157,184,0.8532608695652174
Drano Lake salmon and steelhead 2022,2022-09-04,Bank,22,111,0.1981981981981982
Drano Lake salmon and steelhead 2022,2022-09-04,Boat,89,111,0.8018018018018018
Drano Lake salmon and steelhead 2022,2022-09-11,Bank,5,53,0.09433962264150944
Drano Lake salmon and steelhead 2022,2022-09-11,Boat,48,53,0.9056603773584906
Drano Lake salmon and steelhead 2022,2022-10-02,Bank,41,115,0.3565217391304348
Drano Lake salmon and steelhead 2022,2022-10-02,Boat,74,115,0.6434782608695652
Drano Lake salmon and steelhead 2022,2022-10-09,Bank,44,108,0.4074074074074074
Drano Lake salmon and steelhead 2022,2022-10-09,Boat,64,108,0.5925925925925926
Drano Lake salmon and steelhead 2022,2022-10-16,Bank,29,72,0.4027777777777778
Drano Lake salmon and steelhead 2022,2022-10-16,Boat,43,72,0.5972222222222222
Drano Lake salmon and steelhead 2022,2022-10-23,Bank,50,76,0.6578947368421053
Drano Lake salmon and steelhead 2022,2022-10-23,Boat,26,76,0.34210526315789475
Drano Lake salmon and steelhead 2022,2022-10-30,Bank,11,16,0.6875
Drano Lake salmon and steelhead 2022,2022-10-30,Boat,5,16,0.3125
Drano Lake salmon and steelhead 2023,2023-07-09,Boat,1,1,1
Drano Lake salmon and steelhead 2023,2023-07-16,Boat,8,8,1
Drano Lake salmon and steelhead 2023,2023-07-23,Boat,16,16,1
Drano Lake salmon and steelhead 2023,2023-07-30,Bank,2,28,0.07142857142857142
Drano Lake salmon and steelhead 2023,2023-07-30,Boat,26,28,0.9285714285714286
Drano Lake salmon and steelhead 2023,2023-08-06,Bank,3,75,0.04
Drano Lake salmon and steelhead 2023,2023-08-06,Boat,72,75,0.96
Drano Lake salmon and steelhead 2023,2023-08-13,Bank,10,98,0.10204081632653061
Drano Lake salmon and steelhead 2023,2023-08-13,Boat,88,98,0.8979591836734694
Drano Lake salmon and steelhead 2023,2023-08-20,Bank,7,89,0.07865168539325842
Drano Lake salmon and steelhead 2023,2023-08-20,Boat,82,89,0.9213483146067416
Drano Lake salmon and steelhead 2023,2023-08-27,Bank,22,129,0.17054263565891473
Drano Lake salmon and steelhead 2023,2023-08-27,Boat,107,129,0.8294573643410853
Drano Lake salmon and steelhead 2023,2023-09-03,Bank,17,172,0.09883720930232558
Drano Lake salmon and steelhead 2023,2023-09-03,Boat,155,172,0.9011627906976745
Drano Lake salmon and steelhead 2023,2023-09-10,Bank,5,70,0.07142857142857142
Drano Lake salmon and steelhead 2023,2023-09-10,Boat,65,70,0.9285714285714286
Drano Lake salmon and steelhead 2023,2023-09-17,Bank,3,70,0.04285714285714286
Drano Lake salmon and steelhead 2023,2023-09-17,Boat,67,70,0.9571428571428572
Drano Lake salmon and steelhead 2023,2023-09-24,Bank,3,40,0.075
Drano Lake salmon and steelhead 2023,2023-09-24,Boat,37,40,0.925
Drano Lake salmon and steelhead 2023,2023-10-01,Bank,6,68,0.08823529411764706
Drano Lake salmon and steelhead 2023,2023-10-01,Boat,62,68,0.9117647058823529
Drano Lake salmon and steelhead 2023,2023-10-08,Bank,9,54,0.16666666666666666
Drano Lake salmon and steelhead 2023,2023-10-08,Boat,45,54,0.8333333333333334
Drano Lake salmon and steelhead 2023,2023-10-15,Bank,3,37,0.08108108108108109
Drano Lake salmon and steelhead 2023,2023-10-15,Boat,34,37,0.918918918918919
Drano Lake salmon and steelhead 2023,2023-10-22,Bank,10,35,0.2857142857142857
Drano Lake salmon and steelhead 2023,2023-10-22,Boat,25,35,0.7142857142857143
Drano Lake salmon and steelhead 2023,2023-10-29,Bank,3,7,0.42857142857142855
Drano Lake salmon and steelhead 2023,2023-10-29,Boat,4,7,0.5714285714285714
Drano Lake salmon and steelhead 2024,2024-07-14,Bank,1,8,0.125
Drano Lake salmon and steelhead 2024,2024-07-14,Boat,7,8,0.875
Drano Lake salmon and steelhead 2024,2024-07-21,Bank,2,11,0.18181818181818182
Drano Lake salmon and steelhead 2024,2024-07-21,Boat,9,11,0.8181818181818182
Drano Lake salmon and steelhead 2024,2024-07-28,Bank,7,46,0.15217391304347827
Drano Lake salmon and steelhead 2024,2024-07-28,Boat,39,46,0.8478260869565217
Drano Lake salmon and steelhead 2024,2024-08-04,Bank,1,54,0.018518518518518517
Drano Lake salmon and steelhead 2024,2024-08-04,Boat,53,54,0.9814814814814815
Drano Lake salmon and steelhead 2024,2024-08-11,Bank,8,38,0.21052631578947367
Drano Lake salmon and steelhead 2024,2024-08-11,Boat,30,38,0.7894736842105263
Drano Lake salmon and steelhead 2024,2024-08-18,Bank,8,83,0.0963855421686747
Drano Lake salmon and steelhead 2024,2024-08-18,Boat,75,83,0.9036144578313253
Drano Lake salmon and steelhead 2024,2024-08-25,Bank,4,39,0.10256410256410256
Drano Lake salmon and steelhead 2024,2024-08-25,Boat,35,39,0.8974358974358975
Drano Lake salmon and steelhead 2024,2024-09-01,Bank,19,100,0.19
Drano Lake salmon and steelhead 2024,2024-09-01,Boat,81,100,0.81
Drano Lake salmon and steelhead 2024,2024-09-08,Bank,8,146,0.0547945205479452
Drano Lake salmon and steelhead 2024,2024-09-08,Boat,138,146,0.9452054794520548
Drano Lake salmon and steelhead 2024,2024-09-15,Bank,8,112,0.07142857142857142
Drano Lake salmon and steelhead 2024,2024-09-15,Boat,104,112,0.9285714285714286
Drano Lake salmon and steelhead 2024,2024-09-22,Bank,14,83,0.1686746987951807
Drano Lake salmon and steelhead 2024,2024-09-22,Boat,69,83,0.8313253012048193
Drano Lake salmon and steelhead 2024,2024-09-29,Bank,16,83,0.1927710843373494
Drano Lake salmon and steelhead 2024,2024-09-29,Boat,67,83,0.8072289156626506
Drano Lake salmon and steelhead 2024,2024-10-06,Bank,18,94,0.19148936170212766
Drano Lake salmon and steelhead 2024,2024-10-06,Boat,76,94,0.8085106382978723
Drano Lake salmon and steelhead 2024,2024-10-13,Bank,22,81,0.2716049382716049
Drano Lake salmon and steelhead 2024,2024-10-13,Boat,59,81,0.7283950617283951
Drano Lake salmon and steelhead 2024,2024-10-20,Bank,15,35,0.42857142857142855
Drano Lake salmon and steelhead 2024,2024-10-20,Boat,20,35,0.5714285714285714
Drano Lake salmon and steelhead 2024,2024-10-27,Bank,9,11,0.8181818181818182
Drano Lake salmon and steelhead 2024,2024-10-27,Boat,2,11,0.18181818181818182
Drano Lake salmon and steelhead 2025,2025-06-29,Bank,4,9,0.4444444444444444
Drano Lake salmon and steelhead 2025,2025-06-29,Boat,5,9,0.5555555555555556
Drano Lake salmon and steelhead 2025,2025-07-06,Boat,3,3,1
Drano Lake salmon and steelhead 2025,2025-07-13,Boat,10,10,1
Drano Lake salmon and steelhead 2025,2025-07-20,Bank,7,31,0.22580645161290322
Drano Lake salmon and steelhead 2025,2025-07-20,Boat,24,31,0.7741935483870968
Drano Lake salmon and steelhead 2025,2025-07-27,Bank,4,19,0.21052631578947367
Drano Lake salmon and steelhead 2025,2025-07-27,Boat,15,19,0.7894736842105263
Drano Lake salmon and steelhead 2025,2025-08-03,Bank,9,46,0.1956521739130435
Drano Lake salmon and steelhead 2025,2025-08-03,Boat,37,46,0.8043478260869565
Drano Lake salmon and steelhead 2025,2025-08-10,Bank,13,60,0.21666666666666667
Drano Lake salmon and steelhead 2025,2025-08-10,Boat,47,60,0.7833333333333333
Drano Lake salmon and steelhead 2025,2025-08-17,Bank,16,75,0.21333333333333335
Drano Lake salmon and steelhead 2025,2025-08-17,Boat,59,75,0.7866666666666666
Drano Lake salmon and steelhead 2025,2025-08-24,Bank,26,55,0.4727272727272727
Drano Lake salmon and steelhead 2025,2025-08-24,Boat,29,55,0.5272727272727272
Drano Lake salmon and steelhead 2025,2025-08-31,Bank,18,66,0.2727272727272727
Drano Lake salmon and steelhead 2025,2025-08-31,Boat,48,66,0.7272727272727273
Drano Lake salmon and steelhead 2025,2025-09-07,Bank,27,125,0.216
Drano Lake salmon and steelhead 2025,2025-09-07,Boat,98,125,0.784
Drano Lake salmon and steelhead 2025,2025-09-14,Bank,31,99,0.31313131313131315
Drano Lake salmon and steelhead 2025,2025-09-14,Boat,68,99,0.6868686868686869
Drano Lake salmon and steelhead 2025,2025-09-21,Bank,31,114,0.2719298245614035
Drano Lake salmon and steelhead 2025,2025-09-21,Boat,83,114,0.7280701754385965
Drano Lake salmon and steelhead 2025,2025-09-28,Bank,8,62,0.12903225806451613
Drano Lake salmon and steelhead 2025,2025-09-28,Boat,54,62,0.8709677419354839
Drano Lake salmon and steelhead 2025,2025-10-05,Bank,22,94,0.23404255319148937
Drano Lake salmon and steelhead 2025,2025-10-05,Boat,72,94,0.7659574468085106
Drano Lake salmon and steelhead 2025,2025-10-12,Bank,23,70,0.32857142857142857
Drano Lake salmon and steelhead 2025,2025-10-12,Boat,47,70,0.6714285714285714
Drano Lake salmon and steelhead 2025,2025-10-19,Bank,17,29,0.5862068965517241
Drano Lake salmon and steelhead 2025,2025-10-19,Boat,12,29,0.41379310344827586
Drano Lake salmon and steelhead 2025,2025-10-26,Bank,9,16,0.5625
Drano Lake salmon and steelhead 2025,2025-10-26,Boat,7,16,0.4375
Drano Lake salmon and steelhead 2026,2026-07-05,Bank,2,3,0.6666666666666666
Drano Lake salmon and steelhead 2026,2026-07-05,Boat,1,3,0.3333333333333333
Drano Lake salmon and steelhead 2026,2026-07-12,Bank,3,10,0.3
Drano Lake salmon and steelhead 2026,2026-07-12,Boat,7,10,0.7
Drano Lake salmon and steelhead 2026,2026-07-19,Boat,7,7,1
Drano Lake salmon and steelhead 2026,2026-08-02,Bank,3,28,0.10714285714285714
Drano Lake salmon and steelhead 2026,2026-08-02,Boat,25,28,0.8928571428571429
Drano Lake salmon and steelhead 2026,2026-08-09,Bank,8,22,0.36363636363636365
Drano Lake salmon and steelhead 2026,2026-08-09,Boat,14,22,0.6363636363636364
Drano Lake spring Chinook 2026,2026-04-05,Boat,15,15,1
Drano Lake spring Chinook 2026,2026-04-12,Bank,6,38,0.15789473684210525
Drano Lake spring Chinook 2026,2026-04-12,Boat,32,38,0.8421052631578947
Drano Lake spring Chinook 2026,2026-04-19,Bank,16,107,0.14953271028037382
Drano Lake spring Chinook 2026,2026-04-19,Boat,91,107,0.8504672897196262
Drano Lake spring Chinook 2026,2026-04-26,Bank,52,192,0.2708333333333333
Drano Lake spring Chinook 2026,2026-04-26,Boat,140,192,0.7291666666666666
Drano Lake spring Chinook 2026,2026-05-03,Bank,61,253,0.24110671936758893
Drano Lake spring Chinook 2026,2026-05-03,Boat,192,253,0.758893280632411
Drano Lake spring Chinook 2026,2026-05-10,Bank,21,121,0.17355371900826447
Drano Lake spring Chinook 2026,2026-05-10,Boat,100,121,0.8264462809917356
Drano Lake spring Chinook 2026,2026-05-17,Bank,5,46,0.10869565217391304
Drano Lake spring Chinook 2026,2026-05-17,Boat,41,46,0.8913043478260869
Drano Lake spring Chinook 2026,2026-05-24,Boat,10,10,1
Drano Lake spring Chinook 2026,2026-05-31,Bank,3,13,0.23076923076923078
Drano Lake spring Chinook 2026,2026-05-31,Boat,10,13,0.7692307692307693
Drano Lake spring Chinook 2026,2026-06-07,Bank,1,6,0.16666666666666666
Drano Lake spring Chinook 2026,2026-06-07,Boat,5,6,0.8333333333333334
Drano Lake spring Chinook 2026,2026-06-14,Boat,1,1,1
Drano Lake spring Chinook 2026,2026-06-21,Bank,4,11,0.36363636363636365
Drano Lake spring Chinook 2026,2026-06-21,Boat,7,11,0.6363636363636364
