fishery_name,combined_type,n,total,prop
Skagit winter steelhead 2025,Unguided-Bank,716,1165,0.6145922746781116
Skagit winter steelhead 2025,Unguided-Boat,343,1165,0.2944206008583691
Skookumchuck winter steelhead 2024-25,Guided-Bank,0,476,0
Skookumchuck winter steelhead 2024-25,Guided-Boat,0,476,0
Skookumchuck winter steelhead 2024-25,Unguided-Bank,475,476,0.9978991596638656
Skookumchuck winter steelhead 2024-25,Unguided-Boat,1,476,0.0021008403361344537
Skookumchuck winter steelhead 2025-26,Guided-Bank,0,241,0
Skookumchuck winter steelhead 2025-26,Guided-Boat,0,241,0
Skookumchuck winter steelhead 2025-26,Unguided-Bank,241,241,1
Skookumchuck winter steelhead 2025-26,Unguided-Boat,0,241,0
Skykomish summer Chinook 2020,Guided-Bank,0,61,0
Skykomish summer Chinook 2020,Guided-Boat,35,61,0.5737704918032787
Skykomish summer Chinook 2020,Unguided-Bank,8,61,0.13114754098360656
Skykomish summer Chinook 2020,Unguided-Boat,18,61,0.29508196721311475
Skykomish summer Chinook 2021,Guided-Bank,0,148,0
Skykomish summer Chinook 2021,Guided-Boat,47,148,0.31756756756756754
Skykomish summer Chinook 2021,Unguided-Bank,17,148,0.11486486486486487
Skykomish summer Chinook 2021,Unguided-Boat,84,148,0.5675675675675675
Skykomish summer Chinook and gamefish 2022,Guided-Bank,1,724,0.0013812154696132596
Skykomish summer Chinook and gamefish 2022,Guided-Boat,65,724,0.08977900552486189
Skykomish summer Chinook and gamefish 2022,Unguided-Bank,458,724,0.6325966850828729
Skykomish summer Chinook and gamefish 2022,Unguided-Boat,200,724,0.27624309392265195
Skykomish summer Chinook and gamefish 2025,Guided-Bank,0,250,0
Skykomish summer Chinook and gamefish 2025,Guided-Boat,12,250,0.048
Skykomish summer Chinook and gamefish 2025,Unguided-Bank,183,250,0.732
Skykomish summer Chinook and gamefish 2025,Unguided-Boat,55,250,0.22
Skykomish winter gamefish 2021-22,Guided-Bank,0,248,0
Skykomish winter gamefish 2021-22,Guided-Boat,0,248,0
Skykomish winter gamefish 2021-22,Unguided-Bank,247,248,0.9959677419354839
Skykomish winter gamefish 2021-22,Unguided-Boat,1,248,0.004032258064516129
Skykomish winter gamefish 2022-23,Guided-Bank,0,1,0
Skykomish winter gamefish 2022-23,Guided-Boat,0,1,0
Skykomish winter gamefish 2022-23,Unguided-Bank,1,1,1
Skykomish winter gamefish 2022-23,Unguided-Boat,0,1,0
Snohomish fall salmon 2021,Guided-Bank,0,618,0
Snohomish fall salmon 2021,Guided-Boat,5,618,0.008090614886731391
Snohomish fall salmon 2021,Unguided-Bank,295,618,0.4773462783171521
Snohomish fall salmon 2021,Unguided-Boat,318,618,0.5145631067961165
Snohomish fall salmon 2023,Guided-Bank,0,13,0
Snohomish fall salmon 2023,Guided-Boat,13,13,1
Snohomish fall salmon 2023,Unguided-Bank,0,13,0
Snohomish fall salmon 2023,Unguided-Boat,0,13,0
Snohomish fall salmon 2024,Guided-Bank,0,5,0
Snohomish fall salmon 2024,Guided-Boat,5,5,1
Snohomish fall salmon 2024,Unguided-Bank,0,5,0
Snohomish fall salmon 2024,Unguided-Boat,0,5,0
Snohomish fall salmon 2025,Guided-Bank,1,1272,7.861635220125787e-4
Snohomish fall salmon 2025,Guided-Boat,11,1272,0.008647798742138365
Snohomish fall salmon 2025,Unguided-Bank,854,1272,0.6713836477987422
Snohomish fall salmon 2025,Unguided-Boat,406,1272,0.3191823899371069
South Fork Willapa winter steelhead 2022-23,Guided-Bank,0,12,0
South Fork Willapa winter steelhead 2022-23,Guided-Boat,0,12,0
South Fork Willapa winter steelhead 2022-23,Unguided-Bank,12,12,1
South Fork Willapa winter steelhead 2022-23,Unguided-Boat,0,12,0
South Fork Willapa winter steelhead 2023-24,Guided-Bank,0,17,0
South Fork Willapa winter steelhead 2023-24,Guided-Boat,0,17,0
South Fork Willapa winter steelhead 2023-24,Unguided-Bank,17,17,1
South Fork Willapa winter steelhead 2023-24,Unguided-Boat,0,17,0
Stillaguamish salmon and gamefish 2024-25,Guided-Bank,1,1,1
Stillaguamish salmon and gamefish 2024-25,Guided-Boat,0,1,0
Stillaguamish salmon and gamefish 2024-25,Unguided-Bank,0,1,0
Stillaguamish salmon and gamefish 2024-25,Unguided-Boat,0,1,0
Stillaguamish salmon and gamefish 2025-26,Guided-Bank,0,645,0
Stillaguamish salmon and gamefish 2025-26,Guided-Boat,0,645,0
Stillaguamish salmon and gamefish 2025-26,Unguided-Bank,632,645,0.9798449612403101
Stillaguamish salmon and gamefish 2025-26,Unguided-Boat,13,645,0.020155038759689922
Upper Chehalis salmon 2023,Guided-Bank,0,242,0
Upper Chehalis salmon 2023,Guided-Boat,33,242,0.13636363636363635
Upper Chehalis salmon 2023,Unguided-Bank,29,242,0.11983471074380166
Upper Chehalis salmon 2023,Unguided-Boat,180,242,0.743801652892562
Willapa winter steelhead 2022,Guided-Bank,5,285,0.017543859649122806
Willapa winter steelhead 2022,Guided-Boat,0,285,0
Willapa winter steelhead 2022,Unguided-Bank,278,285,0.9754385964912281
Willapa winter steelhead 2022,Unguided-Boat,2,285,0.007017543859649123
Willapa winter steelhead 2022-23,Guided-Bank,0,289,0
Willapa winter steelhead 2022-23,Guided-Boat,0,289,0
Willapa winter steelhead 2022-23,Unguided-Bank,287,289,0.9930795847750865
Willapa winter steelhead 2022-23,Unguided-Boat,2,289,0.006920415224913495
Willapa winter steelhead 2023-24,Guided-Bank,1,534,0.0018726591760299626
Willapa winter steelhead 2023-24,Guided-Boat,0,534,0
Willapa winter steelhead 2023-24,Unguided-Bank,514,534,0.9625468164794008
Willapa winter steelhead 2023-24,Unguided-Boat,19,534,0.035580524344569285
Wynoochee winter steelhead 2024-25,Guided-Bank,1,545,0.001834862385321101
Wynoochee winter steelhead 2024-25,Guided-Boat,53,545,0.09724770642201835
Wynoochee winter steelhead 2024-25,Unguided-Bank,284,545,0.5211009174311927
Wynoochee winter steelhead 2024-25,Unguided-Boat,207,545,0.3798165137614679
Wynoochee winter steelhead 2025-26,Guided-Bank,1,427,0.00234192037470726
Wynoochee winter steelhead 2025-26,Guided-Boat,56,427,0.13114754098360656
Wynoochee winter steelhead 2025-26,Unguided-Bank,202,427,0.47306791569086654
Wynoochee winter steelhead 2025-26,Unguided-Boat,168,427,0.39344262295081966
