fishery_name,combined_type,n,total,prop
Satsop winter steelhead 2025-26,Unguided-Boat,62,161,0.38509316770186336
Skagit fall salmon 2021,Guided-Bank,0,891,0
Skagit fall salmon 2021,Guided-Boat,11,891,0.012345679012345678
Skagit fall salmon 2021,Unguided-Bank,558,891,0.6262626262626263
Skagit fall salmon 2021,Unguided-Boat,322,891,0.3613916947250281
Skagit fall salmon 2022,Guided-Bank,2,1673,0.001195457262402869
Skagit fall salmon 2022,Guided-Boat,49,1673,0.029288702928870293
Skagit fall salmon 2022,Unguided-Bank,700,1673,0.41841004184100417
Skagit fall salmon 2022,Unguided-Boat,922,1673,0.5511057979677226
Skagit fall salmon 2023,Guided-Bank,5,2677,0.0018677624206200972
Skagit fall salmon 2023,Guided-Boat,43,2677,0.016062756817332834
Skagit fall salmon 2023,Unguided-Bank,1687,2677,0.6301830407172208
Skagit fall salmon 2023,Unguided-Boat,942,2677,0.3518864400448263
Skagit fall salmon 2024,Guided-Bank,4,1779,0.0022484541877459247
Skagit fall salmon 2024,Guided-Boat,29,1779,0.016301292861157952
Skagit fall salmon 2024,Unguided-Bank,1065,1779,0.5986509274873525
Skagit fall salmon 2024,Unguided-Boat,681,1779,0.3827993254637437
Skagit fall salmon 2025,Guided-Bank,10,2633,0.0037979491074819596
Skagit fall salmon 2025,Guided-Boat,61,2633,0.023167489555639954
Skagit fall salmon 2025,Unguided-Bank,1863,2633,0.7075579187238891
Skagit fall salmon 2025,Unguided-Boat,699,2633,0.265476642612989
Skagit spring Chinook 2021 lower,Guided-Bank,0,121,0
Skagit spring Chinook 2021 lower,Guided-Boat,0,121,0
Skagit spring Chinook 2021 lower,Unguided-Bank,87,121,0.71900826446281
Skagit spring Chinook 2021 lower,Unguided-Boat,34,121,0.2809917355371901
Skagit spring Chinook 2022 lower,Guided-Bank,0,336,0
Skagit spring Chinook 2022 lower,Guided-Boat,0,336,0
Skagit spring Chinook 2022 lower,Unguided-Bank,281,336,0.8363095238095238
Skagit spring Chinook 2022 lower,Unguided-Boat,55,336,0.1636904761904762
Skagit spring Chinook 2022 upper,Guided-Bank,0,110,0
Skagit spring Chinook 2022 upper,Guided-Boat,10,110,0.09090909090909091
Skagit spring Chinook 2022 upper,Unguided-Bank,84,110,0.7636363636363637
Skagit spring Chinook 2022 upper,Unguided-Boat,16,110,0.14545454545454545
Skagit spring Chinook 2023 lower,Guided-Bank,0,180,0
Skagit spring Chinook 2023 lower,Guided-Boat,0,180,0
Skagit spring Chinook 2023 lower,Unguided-Bank,127,180,0.7055555555555556
