fishery_name,month,guided_status,hours,total_hours,prop
Drano Lake salmon and steelhead 2025,2025-07-01,Guided,73.8,540.8333333333333,0.13645608628659478
Drano Lake salmon and steelhead 2025,2025-07-01,Unguided,467.0333333333333,540.8333333333333,0.8635439137134053
Drano Lake salmon and steelhead 2025,2025-08-01,Guided,429.21666666666664,3690.5666666666666,0.11630101971693596
Drano Lake salmon and steelhead 2025,2025-08-01,Unguided,3261.35,3690.5666666666666,0.883698980283064
Drano Lake salmon and steelhead 2025,2025-09-01,Guided,1704.6333333333334,5257.4000000000005,0.32423504647417606
Drano Lake salmon and steelhead 2025,2025-09-01,Unguided,3552.766666666667,5257.4000000000005,0.6757649535258239
Drano Lake salmon and steelhead 2025,2025-10-01,Guided,626.8833333333333,2339.9166666666665,0.26790840129634247
Drano Lake salmon and steelhead 2025,2025-10-01,Unguided,1713.0333333333333,2339.9166666666665,0.7320915987036576
Drano Lake salmon and steelhead 2026,2026-07-01,Unguided,169.8,169.8,1
Drano Lake salmon and steelhead 2026,2026-08-01,Unguided,478.8,478.8,1
Drano Lake spring Chinook 2026,2026-04-01,Guided,2094.766666666667,6385.833333333334,0.32803340728174346
Drano Lake spring Chinook 2026,2026-04-01,Unguided,4291.066666666667,6385.833333333334,0.6719665927182565
Drano Lake spring Chinook 2026,2026-05-01,Guided,4268.85,9354.716666666667,0.45633129811521106
Drano Lake spring Chinook 2026,2026-05-01,Unguided,5085.866666666667,9354.716666666667,0.543668701884789
Drano Lake spring Chinook 2026,2026-06-01,Guided,18.666666666666668,157.73333333333332,0.11834319526627221
Drano Lake spring Chinook 2026,2026-06-01,Unguided,139.06666666666666,157.73333333333332,0.8816568047337279
Drano Lake spring Chinook 2026,2026-07-01,Unguided,169.8,169.8,1
Hoh fall salmon 2023,2023-09-01,Guided,211.06666666666666,767.6166666666666,0.2749636320211912
Hoh fall salmon 2023,2023-09-01,Unguided,556.55,767.6166666666666,0.7250363679788089
Hoh fall salmon 2025,2025-09-01,Guided,236.86666666666667,699.5333333333333,0.338606690174402
Hoh fall salmon 2025,2025-09-01,Unguided,462.6666666666667,699.5333333333333,0.6613933098255981
Hoh fall salmon 2025,2025-10-01,Guided,529.9333333333333,1153.65,0.4593536456753203
Hoh fall salmon 2025,2025-10-01,Unguided,623.7166666666667,1153.65,0.5406463543246797
Hoh fall salmon 2025,2025-11-01,Guided,125.88333333333333,358.31666666666666,0.3513186659844644
Hoh fall salmon 2025,2025-11-01,Unguided,232.43333333333334,358.31666666666666,0.6486813340155356
Hoh fall salmon 2025,2025-12-01,Unguided,16,16,1
Hoh winter steelhead 2022-23,2022-12-01,Unguided,66.58333333333333,66.58333333333333,1
Hoh winter steelhead 2022-23,2023-01-01,Guided,255.6,988.8833333333333,0.2584733622099
Hoh winter steelhead 2022-23,2023-01-01,Unguided,733.2833333333333,988.8833333333333,0.7415266377901
Hoh winter steelhead 2022-23,2023-02-01,Guided,1073.45,2660.0833333333335,0.4035399893487046
Hoh winter steelhead 2022-23,2023-02-01,Unguided,1586.6333333333334,2660.0833333333335,0.5964600106512954
Hoh winter steelhead 2022-23,2023-03-01,Guided,1580.3833333333334,3488.133333333333,0.45307423263636715
Hoh winter steelhead 2022-23,2023-03-01,Unguided,1907.75,3488.133333333333,0.5469257673636329
Hoh winter steelhead 2023-24,2023-12-01,Guided,15.85,285.68333333333334,0.05548101044279797
Hoh winter steelhead 2023-24,2023-12-01,Unguided,269.8333333333333,285.68333333333334,0.9445189895572019
Hoh winter steelhead 2023-24,2024-01-01,Guided,229.18333333333334,781.5666666666666,0.29323580841898755
Hoh winter steelhead 2023-24,2024-01-01,Unguided,552.3833333333333,781.5666666666666,0.7067641915810126
Hoh winter steelhead 2023-24,2024-02-01,Guided,1328,3788.1,0.35057152662284524
Hoh winter steelhead 2023-24,2024-02-01,Unguided,2460.1,3788.1,0.6494284733771548
Hoh winter steelhead 2023-24,2024-03-01,Guided,1565.3833333333334,3758.95,0.41644164815529167
Hoh winter steelhead 2023-24,2024-03-01,Unguided,2193.5666666666666,3758.95,0.5835583518447084
Hoh winter steelhead 2024-25,2024-12-01,Guided,14.5,62.93333333333333,0.23040254237288138
Hoh winter steelhead 2024-25,2024-12-01,Unguided,48.43333333333333,62.93333333333333,0.7695974576271186
Hoh winter steelhead 2024-25,2025-01-01,Guided,508.53333333333336,1614.2,0.3150373766158675
Hoh winter steelhead 2024-25,2025-01-01,Unguided,1105.6666666666667,1614.2,0.6849626233841325
Hoh winter steelhead 2024-25,2025-02-01,Guided,959.5,2045.3833333333334,0.4691052207002762
Hoh winter steelhead 2024-25,2025-02-01,Unguided,1085.8833333333334,2045.3833333333334,0.5308947792997238
Hoh winter steelhead 2024-25,2025-03-01,Guided,677.4166666666666,1829.3166666666666,0.37031131843402365
Hoh winter steelhead 2024-25,2025-03-01,Unguided,1151.9,1829.3166666666666,0.6296886815659765
Hoh winter steelhead 2025-26,2025-12-01,Unguided,160.01666666666668,160.01666666666668,1
Hoh winter steelhead 2025-26,2026-01-01,Guided,243.06666666666666,969.9333333333334,0.25060141590487317
Hoh winter steelhead 2025-26,2026-01-01,Unguided,726.8666666666667,969.9333333333334,0.7493985840951267
Hoh winter steelhead 2025-26,2026-02-01,Guided,1069.55,2819.2166666666667,0.37937843254331877
Hoh winter steelhead 2025-26,2026-02-01,Unguided,1749.6666666666667,2819.2166666666667,0.6206215674566813
Hoh winter steelhead 2025-26,2026-03-01,Guided,1525.4,3579.8333333333335,0.42610922296196285
Hoh winter steelhead 2025-26,2026-03-01,Unguided,2054.4333333333334,3579.8333333333335,0.5738907770380371
Humptulips salmon 2020,2020-09-01,Guided,1720.0333333333333,6287.950000000001,0.2735443719071133
Humptulips salmon 2020,2020-09-01,Unguided,4567.916666666667,6287.950000000001,0.7264556280928867
Humptulips salmon 2020,2020-10-01,Guided,967.35,3377.366666666667,0.28642137365403025
Humptulips salmon 2020,2020-10-01,Unguided,2410.016666666667,3377.366666666667,0.7135786263459698
Humptulips salmon 2020,2020-11-01,Guided,408.3833333333333,1402.7166666666667,0.2911374356902677
Humptulips salmon 2020,2020-11-01,Unguided,994.3333333333334,1402.7166666666667,0.7088625643097323
Humptulips salmon 2021,2021-09-01,Guided,665.3666666666667,4079.016666666667,0.16311937926215878
Humptulips salmon 2021,2021-09-01,Unguided,3413.65,4079.016666666667,0.8368806207378412
Humptulips salmon 2021,2021-10-01,Guided,549.3,2564.633333333333,0.21418266418851298
