fishery_name,pe_period,study_design,status,stage,reason
Snohomish fall salmon 2023,month,Standard,ok,NA,NA
Snohomish fall salmon 2024,month,Standard,ok,NA,NA
Snohomish fall salmon 2025,month,Standard,ok,NA,NA
Stillaguamish salmon and gamefish 2022-23,month,Standard,ok,NA,NA
Stillaguamish salmon and gamefish 2023-24,month,Standard,ok,NA,NA
Stillaguamish salmon and gamefish 2024-25,month,Standard,ok,NA,NA
Stillaguamish salmon and gamefish 2025-26,month,Standard,ok,NA,NA
Upper Chehalis salmon 2023,month,Standard,ok,NA,NA
Wallace salmon and gamefish 2022-23,month,Standard,ok,NA,NA
Wallace salmon and gamefish 2023-24,month,Standard,ok,NA,NA
Wallace salmon and gamefish 2024-25,month,Standard,ok,NA,NA
